date,Foster,Grant,Griggs,Kidder,Logan,Pierce,Renville,Stark,Unknown,Wells,Billings,Burke,Cavalier,Dickey,Dunn,Eddy,Grand Forks,McLean,Mercer,Nelson,Sargent,Slope,Steele,Walsh,Ward,Barnes,Benson,Bowman,Hettinger,LaMoure,McHenry,McKenzie,Oliver,Richland,Sioux,Traill,Cass,Divide,Emmons,McIntosh,Morton,Mountrail,Pembina,Ramsey,Ransom,Rolette,Stutsman,Towner,Williams,Sheridan,Burleigh,Bottineau
01/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/19/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
03/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
03/19/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0
03/20/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,0,0,0,0,13,0
03/21/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,0,0,0,0,14,0
03/22/2020,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,0,0,0,0,15,0
03/23/2020,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,0,0,0,0,16,0
03/24/2020,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,1,0,0,0,0,0,0,18,0
03/25/2020,1,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,3,0,0,0,0,0,0,18,0
03/26/2020,1,0,0,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,8,0,0,1,8,0,0,3,0,0,0,0,0,0,23,0
03/27/2020,1,0,0,0,0,2,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,11,0,0,1,11,0,0,3,0,0,0,0,0,0,25,0
03/28/2020,1,0,0,0,0,2,0,9,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,7,2,0,0,0,0,1,0,0,0,1,0,18,1,0,1,13,2,0,3,0,0,0,0,0,0,28,0
03/29/2020,1,0,0,0,0,2,0,10,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,7,2,0,0,0,0,1,0,0,0,1,0,20,1,0,1,14,2,0,3,0,0,0,0,0,0,28,0
03/30/2020,1,0,0,0,0,2,0,11,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,9,2,0,0,0,0,1,0,1,0,1,0,23,1,0,1,14,4,0,3,0,0,0,0,0,0,29,0
03/31/2020,1,1,0,0,0,2,0,12,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,1,9,2,0,0,0,0,1,1,1,0,1,0,31,1,0,1,14,5,0,3,0,0,0,0,3,0,30,0
04/01/2020,1,1,0,0,0,2,0,16,0,0,0,2,0,0,1,0,5,2,0,0,0,0,0,1,12,2,0,0,0,0,1,2,1,0,1,0,37,1,0,1,14,6,0,3,0,0,0,0,3,0,32,0
04/02/2020,1,1,0,0,0,2,0,18,0,0,0,2,0,0,1,0,5,2,0,0,0,0,0,1,13,2,0,0,0,0,1,2,1,0,1,0,43,1,0,1,14,8,0,3,0,0,0,0,4,0,32,0
04/03/2020,1,1,0,0,0,2,0,19,0,0,0,2,0,0,1,1,6,2,0,0,0,1,0,1,14,2,0,0,0,0,1,2,1,0,1,0,46,1,0,1,16,11,0,3,0,0,0,0,5,0,32,0
04/04/2020,1,1,0,0,0,2,0,22,0,0,0,2,0,0,1,1,10,2,0,0,0,1,0,1,14,2,0,0,0,0,1,2,1,0,1,0,48,1,0,1,16,13,0,3,0,0,0,0,5,0,34,0
04/05/2020,1,1,0,0,0,2,0,25,0,0,0,2,0,0,1,1,11,2,0,0,0,1,0,1,14,2,0,0,0,0,1,3,1,0,1,0,54,1,1,1,16,19,0,3,0,0,0,0,5,0,37,0
04/06/2020,1,1,0,0,0,2,0,25,0,0,0,2,0,0,1,1,11,2,0,0,0,2,0,3,16,2,0,0,0,0,1,3,1,0,1,0,65,1,1,1,17,19,0,3,0,0,0,0,5,0,38,0
04/07/2020,1,1,0,0,0,2,0,25,0,0,0,2,0,0,1,1,11,2,0,0,0,3,0,3,16,2,0,1,0,0,1,5,1,0,1,0,70,1,1,1,18,20,0,3,0,0,0,0,5,0,39,0
04/08/2020,1,1,0,0,0,2,0,28,0,0,0,2,0,0,1,1,11,2,0,0,0,3,0,3,16,2,0,1,0,0,1,5,1,0,1,0,77,1,1,1,18,20,0,3,0,0,1,0,5,0,42,0
04/09/2020,1,1,0,0,0,2,0,29,0,0,0,2,0,0,1,1,11,2,0,0,0,3,0,3,19,2,0,1,0,0,1,6,1,1,1,0,83,1,1,1,19,20,0,3,0,0,1,0,6,0,46,0
04/10/2020,1,1,0,0,0,2,0,29,0,0,0,2,0,0,2,1,11,2,0,0,1,3,0,3,19,2,0,1,0,0,1,6,1,1,1,0,88,1,1,1,19,20,0,3,0,0,1,0,6,0,48,0
04/11/2020,1,1,0,0,0,2,0,30,0,0,0,2,0,0,2,1,11,2,0,0,1,3,0,3,20,2,0,1,0,0,1,6,1,2,1,0,95,1,1,1,19,21,0,3,0,1,1,0,8,0,49,0
04/12/2020,1,1,0,0,0,2,0,32,0,0,0,2,0,0,2,1,11,2,0,0,1,3,0,3,20,2,0,1,0,0,1,6,1,2,1,0,107,1,1,1,19,21,0,3,0,1,1,0,8,0,50,0
04/13/2020,1,1,0,0,0,2,0,34,0,0,0,2,0,0,3,1,11,2,0,0,1,3,0,3,20,2,0,1,0,0,1,8,1,3,1,0,116,1,1,1,20,27,0,3,0,1,1,0,8,0,51,0
04/14/2020,1,1,0,0,0,2,0,34,0,0,0,2,0,0,3,1,12,2,0,0,1,3,0,3,20,2,0,1,0,0,1,8,1,3,1,0,123,1,1,1,21,27,0,3,0,1,1,0,8,0,52,0
04/15/2020,1,1,0,0,0,2,0,34,1,0,0,2,0,0,3,1,20,3,0,0,1,3,0,3,20,2,0,1,0,0,1,9,1,3,1,0,135,1,1,1,21,29,0,3,0,1,1,0,8,0,52,0
04/16/2020,1,1,0,0,0,2,0,37,1,0,0,2,0,0,4,1,23,3,0,0,1,3,0,3,20,2,0,1,0,0,1,10,1,4,1,0,152,1,1,1,21,29,0,3,0,1,1,0,8,0,54,0
04/17/2020,1,1,0,0,0,2,0,39,1,0,0,2,0,0,5,1,32,3,0,0,1,3,0,3,20,2,0,1,0,0,1,10,1,5,1,0,181,1,1,1,21,29,0,3,0,1,1,0,9,0,57,0
04/18/2020,1,1,0,0,0,2,0,38,0,0,0,2,0,0,6,1,99,3,0,0,1,3,0,3,20,3,0,1,0,0,1,10,1,5,1,0,197,1,1,1,21,29,0,3,0,1,1,0,10,0,61,0
04/19/2020,1,1,0,0,0,2,0,39,0,0,0,2,0,0,9,1,133,3,0,1,1,3,0,3,20,3,0,1,0,0,1,10,1,5,1,0,212,1,1,1,22,30,0,3,0,1,1,0,9,0,63,0
04/20/2020,1,1,0,0,0,2,0,39,0,0,0,2,0,0,10,1,138,3,0,1,1,3,0,3,20,3,0,1,0,0,1,10,1,5,1,0,246,1,1,1,22,30,0,3,0,1,3,0,9,0,63,0
04/21/2020,1,1,0,0,0,2,0,39,0,0,0,2,0,0,10,1,143,3,0,1,1,3,0,3,20,3,0,1,0,0,1,10,1,5,2,0,255,1,1,1,23,31,0,3,0,1,3,0,9,0,63,0
04/22/2020,1,1,0,0,0,2,0,40,0,1,0,2,0,0,10,1,154,3,0,1,1,3,0,3,21,3,0,1,0,0,1,10,1,6,1,0,274,1,1,1,23,31,0,3,0,1,3,0,9,0,65,0
04/23/2020,1,1,0,0,0,2,0,40,0,1,0,3,0,0,10,1,162,3,0,1,1,3,0,3,21,3,0,1,0,0,1,10,1,7,1,0,290,1,1,1,23,33,0,3,0,1,3,0,9,0,67,0
04/24/2020,1,1,0,0,0,2,0,40,0,1,0,3,0,0,10,1,170,3,0,1,1,3,0,4,21,3,0,1,0,0,1,10,1,7,1,0,318,1,1,1,23,33,0,3,0,1,3,0,10,0,68,0
04/25/2020,1,1,0,0,0,2,0,40,0,2,0,3,0,0,10,1,173,3,0,1,1,3,0,4,21,4,0,1,0,0,1,12,1,7,1,0,357,1,1,1,24,33,1,3,0,1,4,0,10,0,74,0
04/26/2020,1,1,0,0,0,2,0,41,0,2,0,3,0,0,10,1,195,3,0,1,1,3,0,4,21,4,0,1,0,0,1,12,1,7,1,0,397,1,1,1,24,33,1,3,1,1,4,0,10,0,74,0
04/27/2020,1,1,0,0,0,2,0,41,0,2,0,3,0,0,10,1,231,3,0,1,1,3,0,7,21,4,0,1,0,0,1,12,1,7,1,0,431,1,1,1,24,34,1,4,1,1,4,0,10,0,74,0
04/28/2020,1,1,0,0,0,2,0,44,0,2,0,3,0,0,10,1,234,3,0,1,1,3,0,7,21,4,0,1,0,0,1,12,1,7,1,0,472,1,1,1,24,35,1,4,1,1,5,0,10,0,74,0
04/29/2020,1,1,0,0,0,2,0,46,0,2,0,3,0,0,10,1,251,3,0,1,1,3,0,7,21,4,0,1,0,0,1,13,1,7,1,0,492,1,1,1,24,35,1,3,1,1,6,0,10,0,76,0
04/30/2020,1,1,0,0,0,2,0,49,0,2,0,3,0,0,10,1,258,3,0,1,1,3,0,7,21,4,0,1,0,0,1,13,1,7,1,0,513,1,1,1,24,35,3,3,1,1,6,0,10,0,77,0
05/01/2020,1,1,0,0,0,2,1,52,0,2,0,3,0,0,10,1,262,3,0,1,1,3,0,7,21,4,0,1,0,0,1,13,1,7,1,0,542,1,1,1,24,35,3,3,1,1,7,0,10,0,79,0
05/02/2020,1,1,0,0,0,2,1,54,0,2,0,3,0,0,11,1,265,5,0,1,1,3,0,7,25,4,0,1,0,0,1,13,1,7,1,0,572,1,1,1,24,35,3,3,1,1,10,0,10,0,80,0
05/03/2020,1,1,0,0,0,2,1,55,0,2,0,3,0,0,11,1,267,5,0,1,1,3,0,7,25,4,0,1,0,0,1,13,1,7,1,0,605,1,1,1,24,35,3,3,1,1,11,0,11,0,80,0
05/04/2020,1,1,0,0,0,2,1,57,0,2,0,3,0,0,11,1,269,5,0,1,1,3,0,7,25,4,0,1,0,0,1,13,1,7,1,0,630,1,1,1,26,35,3,3,1,1,11,0,11,0,83,0
05/05/2020,1,1,0,0,0,2,1,57,0,2,0,5,0,0,11,1,270,5,3,1,1,3,0,7,25,4,0,1,0,0,1,13,1,7,1,0,643,1,1,1,35,35,4,3,1,1,12,0,13,0,92,0
05/06/2020,1,1,0,0,0,2,1,57,0,2,0,5,0,0,11,1,271,5,3,1,2,3,0,7,25,4,0,1,0,0,1,13,1,7,1,0,686,1,1,1,35,36,4,3,2,1,12,0,13,0,102,0
05/07/2020,1,1,0,0,0,3,1,60,0,2,0,5,0,0,11,1,275,5,3,1,3,3,0,8,26,4,2,1,0,0,1,15,1,8,1,1,709,1,1,1,35,35,5,5,2,2,12,0,18,0,102,0
05/08/2020,1,1,0,0,0,3,1,60,0,2,0,5,0,0,11,1,282,5,3,1,3,3,0,8,26,4,2,1,0,0,1,15,1,8,1,1,752,1,1,1,35,37,6,5,2,2,12,0,18,0,103,0
05/09/2020,1,1,0,0,0,3,1,61,0,2,0,5,0,0,11,1,284,5,3,1,3,3,0,8,27,4,2,1,0,0,2,15,1,8,1,1,781,1,1,1,35,37,6,7,3,3,13,0,18,0,103,0
05/10/2020,1,1,0,0,0,3,1,61,0,2,0,5,0,0,11,1,285,5,3,1,3,3,0,8,27,4,2,1,0,0,2,15,1,9,1,1,805,1,1,1,36,37,6,7,3,3,13,0,18,0,103,0
05/11/2020,1,2,0,0,0,3,1,61,0,2,0,5,0,0,12,2,287,5,4,1,3,3,0,8,27,4,2,1,0,0,2,15,1,9,1,1,821,1,1,1,37,37,6,7,3,3,15,0,19,0,104,0
05/12/2020,1,2,0,0,0,3,1,61,0,2,0,5,0,0,11,2,293,5,4,1,3,3,0,8,28,4,2,1,0,0,2,15,1,8,1,1,866,1,1,1,37,37,6,7,3,3,16,0,20,0,105,0
05/13/2020,1,2,0,0,0,3,1,61,0,2,0,5,0,0,11,2,297,5,4,1,3,3,0,9,28,4,2,1,0,0,2,15,1,8,1,1,935,1,1,1,38,37,6,7,3,3,16,0,20,0,106,0
05/14/2020,1,2,0,0,0,3,1,61,0,2,0,5,0,0,11,2,304,5,4,1,3,3,0,9,28,4,1,1,0,0,2,15,1,9,1,1,991,1,1,1,37,38,6,7,3,3,16,0,21,0,107,0
05/15/2020,1,2,0,0,0,3,1,61,0,2,0,5,0,0,11,2,307,5,4,1,3,3,0,9,28,4,1,1,0,0,2,15,1,9,1,1,1032,1,1,1,39,38,6,7,3,4,16,0,21,0,109,0
05/16/2020,1,2,0,0,0,3,1,61,0,2,0,5,0,0,11,2,315,5,4,1,3,3,0,9,28,4,1,1,0,0,2,15,1,9,1,1,1106,1,1,1,39,40,6,7,3,4,16,0,21,0,112,0
05/17/2020,1,2,0,0,0,3,1,61,0,2,0,5,0,0,11,2,317,6,4,1,3,3,1,10,28,4,1,1,0,0,2,15,1,9,1,2,1147,1,1,1,40,42,6,7,4,4,16,0,21,0,113,0
05/18/2020,1,2,0,0,0,3,1,61,0,2,0,5,0,0,11,2,317,6,4,1,3,3,1,10,28,4,1,1,0,0,2,15,1,9,2,2,1173,1,1,1,40,42,6,7,5,4,16,0,21,0,116,0
05/19/2020,1,2,0,0,0,3,1,61,0,2,0,5,0,0,12,2,317,7,4,1,3,3,1,10,28,4,1,1,0,0,2,16,1,11,2,2,1229,1,1,1,40,39,6,8,7,4,16,0,21,0,117,1
05/20/2020,1,2,0,0,0,3,1,61,0,2,0,5,0,0,12,2,319,7,4,2,3,3,1,11,29,4,1,1,0,0,2,16,1,13,2,20,1277,1,1,1,63,39,6,8,7,4,17,0,22,0,120,1
