date,Guadalupe,Hidalgo,Lincoln,McKinley,Mora,Otero,Roosevelt,San Miguel,Santa Fe,Unknown,Grant,Lea,Quay,Rio Arriba,San Juan,Socorro,Catron,Chaves,Cibola,Harding,Los Alamos,Luna,Sierra,Taos,Bernalillo,Colfax,Curry,Dona Ana,Sandoval,Torrance,Union,Valencia,Eddy
02/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/19/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/11/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03/12/2020,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
03/13/2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
03/14/2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0
03/15/2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0
03/16/2020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0
03/17/2020,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,14,0,0,0,2,0,0,0,0
03/18/2020,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,17,0,0,0,2,0,0,0,0
03/19/2020,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,20,0,0,0,4,0,0,0,0
03/20/2020,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,23,0,0,1,6,0,0,0,0
03/21/2020,0,0,0,1,0,0,0,1,8,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,32,0,0,2,7,0,0,0,0
03/22/2020,0,0,0,2,0,0,0,1,10,0,0,1,0,0,1,2,0,0,0,0,0,0,0,3,34,0,0,4,7,0,0,0,0
03/23/2020,0,0,0,2,0,0,0,1,12,0,0,1,0,0,3,2,0,4,0,0,0,0,0,3,38,0,0,10,7,0,0,0,0
03/24/2020,0,0,0,3,0,0,0,1,14,0,0,1,0,0,7,2,0,4,1,0,0,0,0,3,43,0,1,13,7,0,0,0,0
03/25/2020,0,0,0,3,0,0,0,1,17,0,0,1,0,2,8,2,0,4,1,0,0,0,0,3,48,0,1,13,8,0,0,0,1
03/26/2020,0,0,0,3,0,0,0,1,22,0,0,1,0,2,14,2,0,4,1,0,0,0,0,3,55,0,1,16,10,0,0,0,1
03/27/2020,0,0,0,5,0,0,1,1,29,0,0,2,0,3,17,2,0,4,2,0,0,0,0,8,82,0,1,16,15,0,0,1,2
03/28/2020,0,0,0,5,0,0,1,1,30,0,0,2,0,3,18,2,0,7,2,0,0,0,0,9,93,0,1,17,15,0,0,1,3
03/29/2020,0,0,0,9,0,0,1,1,34,0,0,2,0,2,22,2,0,8,2,0,0,0,0,9,101,0,3,17,18,0,0,2,4
03/30/2020,0,0,0,12,0,0,1,1,38,0,0,2,0,3,27,3,0,10,2,0,0,0,0,10,117,0,3,18,23,3,0,5,4
03/31/2020,0,0,0,16,0,0,1,1,42,0,0,2,0,4,32,3,0,10,2,0,0,0,0,11,129,0,3,18,29,3,0,5,4
04/01/2020,0,0,0,20,0,1,1,1,48,0,1,2,0,4,37,3,1,10,4,0,0,0,0,12,148,0,5,21,32,3,0,5,4
04/02/2020,0,0,0,24,0,2,1,1,48,0,1,2,0,5,41,4,1,13,5,0,0,0,0,13,163,0,6,21,40,3,0,5,4
04/03/2020,0,0,0,32,0,2,1,1,52,2,1,2,0,5,50,4,1,13,8,0,0,0,0,13,202,0,6,22,66,3,0,5,4
04/04/2020,0,0,1,32,0,2,1,1,58,2,1,2,0,6,58,4,1,13,12,0,1,0,0,13,225,0,6,23,69,6,0,5,4
04/05/2020,0,0,1,40,0,3,1,1,62,0,1,2,0,6,58,5,1,13,14,0,2,0,0,13,246,0,6,29,103,6,0,7,4
04/06/2020,0,0,1,44,0,3,1,1,64,0,3,2,0,6,83,5,1,14,14,0,2,0,0,13,262,0,6,30,114,6,0,7,4
04/07/2020,0,0,1,55,0,3,1,1,66,0,4,2,0,6,107,5,1,15,15,0,2,0,0,14,307,0,8,35,128,7,0,7,4
04/08/2020,0,0,1,70,0,3,1,1,68,0,4,2,0,7,116,7,1,16,16,0,2,0,0,14,325,0,8,39,143,7,0,8,6
04/09/2020,0,0,1,84,0,3,1,1,70,0,4,2,0,7,126,9,1,18,21,0,4,0,0,15,369,1,9,44,174,8,0,11,6
04/10/2020,0,0,1,113,0,3,1,1,72,0,7,2,0,7,142,10,1,18,24,0,4,2,0,15,407,1,9,44,177,9,0,14,6
04/11/2020,0,0,1,140,0,3,1,1,74,0,8,2,1,7,149,11,1,19,25,0,4,2,0,15,422,1,9,49,199,9,0,15,6
04/12/2020,0,0,1,144,0,4,1,1,75,0,9,2,1,7,151,12,1,19,25,0,5,2,0,15,440,1,10,49,235,10,0,18,7
04/13/2020,0,0,1,191,0,3,1,1,76,0,10,2,1,7,173,14,1,19,25,0,5,2,0,15,455,2,10,50,244,10,0,20,7
04/14/2020,0,0,1,204,0,3,1,2,76,0,10,2,1,10,192,15,1,19,28,0,6,2,0,15,464,2,10,50,253,12,0,21,7
04/15/2020,0,0,1,242,0,3,1,2,78,0,11,2,1,10,200,16,1,19,29,0,6,2,0,15,477,2,10,54,262,12,0,21,7
04/16/2020,0,0,1,265,0,3,1,2,79,0,12,2,1,10,229,20,1,19,30,0,6,3,0,15,491,3,10,58,293,12,0,24,7
04/17/2020,0,0,1,316,0,3,1,2,80,0,13,2,1,10,243,20,1,21,32,0,6,3,0,15,514,4,10,65,301,12,0,26,9
04/18/2020,1,0,1,356,0,3,1,2,82,0,13,2,2,10,260,20,1,21,33,0,6,3,0,15,527,4,10,67,311,12,0,26,9
04/19/2020,1,0,1,363,0,3,1,2,83,0,13,2,2,10,275,20,1,21,33,0,6,3,0,15,542,4,10,69,315,12,0,29,9
04/20/2020,1,0,1,416,0,3,1,2,86,0,14,2,3,11,293,31,1,21,33,0,6,3,0,16,566,5,10,73,317,13,0,33,10
04/21/2020,1,0,2,460,0,3,1,2,88,0,14,2,3,11,314,34,1,21,35,0,6,3,0,16,585,5,10,76,322,13,0,34,10
04/22/2020,2,0,2,519,0,3,4,2,93,1,14,5,3,11,339,34,1,21,35,0,6,3,0,16,600,5,10,82,341,13,0,35,11
04/23/2020,3,0,2,573,0,5,4,2,96,0,14,8,4,11,390,38,1,22,38,1,6,3,0,17,631,5,10,88,345,13,0,38,11
04/24/2020,7,0,2,639,0,5,4,2,96,0,14,10,4,12,420,39,1,22,38,1,6,3,0,17,651,5,10,94,357,13,0,41,11
04/25/2020,12,0,2,708,0,5,6,2,96,0,14,10,4,12,435,40,1,22,39,1,6,3,0,17,670,5,11,110,365,13,1,41,11
04/26/2020,13,0,2,720,0,5,7,2,96,0,14,10,4,14,442,40,1,22,41,1,6,3,0,17,688,5,13,116,374,14,3,42,13
04/27/2020,13,0,2,778,0,5,7,2,96,0,14,10,4,14,463,40,1,22,41,1,6,3,0,17,694,5,12,126,378,14,3,42,12
04/28/2020,13,0,2,820,0,5,8,2,98,0,14,10,4,14,508,41,1,22,46,1,6,3,0,17,738,5,13,129,383,15,3,42,12
04/29/2020,14,0,2,953,0,5,8,2,98,0,14,10,4,14,576,42,1,22,47,1,6,4,1,17,765,5,13,130,385,15,3,44,12
04/30/2020,14,0,2,1027,0,5,9,2,100,0,14,10,4,14,621,42,1,22,52,1,6,5,1,18,811,5,17,144,389,15,3,45,12
05/01/2020,14,0,2,1064,0,5,9,2,100,0,14,10,4,18,637,43,1,23,63,1,6,5,1,19,830,5,17,147,396,15,3,47,12
05/02/2020,14,0,2,1116,0,6,9,2,107,0,15,12,4,22,710,43,1,23,63,1,6,6,1,19,883,5,18,153,410,16,3,49,13
05/03/2020,15,0,2,1144,0,6,10,2,107,0,16,12,4,24,736,45,1,23,68,1,6,7,1,20,920,5,18,159,416,16,3,50,13
05/04/2020,15,0,2,1233,0,8,10,2,108,0,15,12,4,24,781,46,1,24,69,1,6,7,1,20,944,5,19,170,421,16,3,50,13
05/05/2020,15,0,2,1274,0,8,10,3,108,0,15,12,4,24,806,48,1,25,74,1,6,7,1,20,963,5,20,173,426,17,3,53,13
05/06/2020,15,0,2,1337,0,9,11,4,110,0,15,14,4,24,844,48,2,25,82,1,6,7,1,20,981,5,23,180,432,17,3,55,13
05/07/2020,15,0,2,1402,0,9,11,4,110,0,15,14,4,26,921,48,2,26,82,1,6,7,1,20,1012,5,26,197,439,17,3,54,13
05/08/2020,15,0,2,1460,0,15,11,5,110,0,15,14,4,27,989,48,2,27,85,1,6,7,1,20,1030,5,28,206,451,17,3,55,14
05/09/2020,15,0,2,1508,0,15,11,6,110,0,15,14,4,27,1015,48,2,27,86,1,6,7,1,20,1050,5,29,212,452,18,3,55,14
05/10/2020,15,0,2,1522,0,16,11,6,111,0,15,15,4,27,1034,48,2,27,86,1,6,7,1,20,1073,5,29,232,458,18,3,55,14
05/11/2020,15,0,2,1585,0,31,11,7,112,11,15,15,4,28,1107,49,2,27,86,1,6,8,1,20,1086,5,31,256,467,18,3,57,14
05/12/2020,17,0,2,1628,0,46,12,7,112,0,15,15,5,28,1149,49,2,28,89,1,6,8,1,21,1111,5,32,256,474,19,3,57,14
05/13/2020,17,0,2,1681,0,56,13,7,113,0,15,15,5,28,1203,49,2,30,95,1,6,8,1,22,1124,5,34,260,477,19,3,59,14
05/14/2020,17,0,2,1730,0,60,14,7,113,0,16,15,5,30,1237,49,2,30,102,1,6,8,1,22,1149,5,34,270,479,19,3,60,17
05/15/2020,19,0,2,1787,0,68,14,9,114,0,16,15,5,30,1274,49,2,30,102,1,6,8,1,23,1180,5,36,281,483,19,3,63,17
05/16/2020,19,0,3,1864,0,75,26,10,122,0,16,15,5,31,1316,49,2,30,103,1,6,8,1,22,1194,5,40,293,488,19,3,64,17
05/17/2020,19,0,3,1888,0,75,26,10,123,0,16,16,5,31,1344,49,2,30,104,1,6,8,1,22,1210,5,41,305,493,19,3,66,17
05/18/2020,19,1,3,1953,0,99,27,10,124,0,16,18,5,33,1376,49,2,31,105,1,6,8,1,23,1218,5,41,320,495,19,3,68,17
05/19/2020,19,1,3,1987,0,99,27,10,126,0,16,18,5,33,1408,49,2,31,110,1,6,8,1,22,1225,5,43,330,498,20,3,69,17
05/20/2020,19,1,3,2009,0,118,26,10,127,21,16,18,5,33,1432,49,2,32,113,1,6,8,1,22,1254,5,44,333,520,20,3,70,17
05/21/2020,19,1,3,2044,0,118,26,10,127,24,16,21,5,36,1451,49,2,34,115,1,6,8,1,22,1273,5,44,373,528,20,3,70,17
05/22/2020,19,1,3,2086,0,146,31,10,129,0,16,21,5,36,1490,49,2,35,124,1,6,8,1,22,1313,5,45,381,529,20,3,71,17
05/23/2020,19,1,3,2128,0,183,33,11,130,0,16,23,5,36,1533,49,2,36,124,1,6,8,1,23,1326,5,46,402,534,21,3,70,17
05/24/2020,19,1,3,2192,0,186,34,11,132,0,16,23,5,37,1558,49,2,39,131,1,6,8,1,24,1337,5,46,418,543,22,3,73,18
05/25/2020,19,1,3,2215,0,186,36,15,133,1,16,24,5,37,1581,49,2,40,131,1,6,7,1,24,1347,5,46,434,544,22,3,73,19
05/26/2020,20,1,2,2236,0,192,36,15,133,0,15,24,5,37,1605,49,2,42,132,1,6,7,1,24,1362,5,49,439,546,48,3,74,19
05/27/2020,20,1,2,2270,0,194,37,14,137,0,15,24,5,38,1642,49,2,42,136,1,6,7,1,24,1383,5,50,450,551,50,3,74,19
05/28/2020,20,1,2,2291,0,196,37,14,138,0,15,24,5,41,1662,50,2,42,138,1,6,7,1,24,1434,5,51,453,556,50,3,74,21
05/29/2020,20,1,2,2348,0,204,37,15,137,0,15,26,5,43,1692,50,2,44,141,1,6,8,1,25,1445,5,52,460,559,50,4,75,20
05/30/2020,20,1,2,2406,0,211,38,15,140,0,15,26,5,44,1715,50,2,45,143,1,6,8,1,25,1464,5,51,471,566,50,4,74,20
05/31/2020,20,1,2,2415,0,215,40,15,142,0,15,26,5,47,1733,50,2,47,145,1,6,8,1,24,1476,5,52,477,568,50,4,75,22
06/01/2020,20,1,2,2451,0,215,42,15,144,0,15,26,5,48,1771,51,2,50,145,1,6,8,1,29,1486,5,53,487,568,50,4,75,24
06/02/2020,20,1,4,2480,0,331,41,15,149,0,15,26,5,49,1813,52,2,51,147,1,6,9,1,30,1499,5,55,490,572,50,4,78,23
06/03/2020,20,1,5,2515,0,356,41,15,151,0,15,26,5,52,1821,52,2,50,149,1,6,10,1,30,1524,5,56,499,575,50,4,80,23
06/04/2020,20,1,5,2542,0,467,42,15,151,109,15,26,5,52,1842,54,2,51,150,1,6,9,1,31,1543,5,57,520,578,51,4,81,26
06/05/2020,20,1,5,2617,0,597,42,15,151,0,15,29,5,54,1893,54,2,50,154,1,6,11,1,31,1559,5,62,546,579,52,5,82,28
06/06/2020,20,1,5,2657,0,600,42,15,151,0,15,29,5,54,1923,55,2,49,161,1,6,11,1,31,1575,5,62,569,585,53,5,82,30
06/07/2020,20,1,5,2694,0,601,42,15,156,0,15,29,5,54,1966,55,2,49,168,1,6,12,1,31,1592,5,62,581,597,53,5,82,35
06/08/2020,20,1,5,2746,0,601,45,16,156,1,15,32,5,57,1990,55,2,49,170,1,6,12,1,31,1600,5,64,598,600,53,5,82,38
06/09/2020,20,1,5,2757,0,604,45,16,159,0,15,33,4,57,1999,55,2,48,171,1,6,12,1,31,1612,5,64,600,604,53,5,82,38
06/10/2020,20,1,5,2807,0,604,46,16,161,0,15,34,4,59,2034,55,2,50,172,1,6,12,3,31,1623,6,68,626,604,53,5,85,42
06/11/2020,20,1,5,2822,0,623,51,16,162,0,16,35,4,60,2043,55,2,52,175,1,6,20,3,31,1652,6,68,643,607,52,5,87,45
06/12/2020,20,2,5,2870,0,644,53,16,166,0,17,38,4,60,2081,55,2,53,183,1,6,21,3,32,1669,5,71,648,609,53,5,88,46
06/13/2020,20,3,5,2896,0,654,53,16,171,0,16,41,4,60,2083,55,2,56,186,1,6,27,4,32,1682,7,77,656,616,53,5,88,46
06/14/2020,20,3,6,2912,0,653,53,16,171,19,16,42,4,60,2098,55,2,59,187,1,7,28,4,32,1693,7,81,669,630,53,5,90,47
06/15/2020,20,20,6,2936,0,697,53,16,174,0,16,44,4,59,2123,55,2,59,188,1,7,30,4,33,1705,8,83,668,634,58,5,90,47
06/16/2020,20,23,6,2949,0,700,53,16,179,0,16,49,4,59,2129,55,2,59,189,1,7,33,4,33,1733,8,89,670,642,58,5,94,48
06/17/2020,20,23,6,2968,0,739,53,16,183,0,16,55,4,61,2140,55,2,61,189,1,7,33,4,33,1752,8,92,687,651,58,5,95,48
06/18/2020,20,23,7,2987,0,742,54,18,185,0,16,55,5,66,2148,55,2,61,191,1,7,45,5,33,1763,8,97,696,656,58,5,95,49
06/19/2020,20,26,7,3009,0,749,54,18,189,0,16,58,5,73,2165,55,2,64,197,1,7,48,5,33,1777,8,101,703,662,58,5,96,49
06/20/2020,20,26,7,3041,0,813,53,18,194,0,16,66,5,79,2173,55,2,64,197,1,7,50,5,33,1792,9,108,711,672,60,5,97,51
06/21/2020,20,28,7,3073,0,812,53,18,197,41,17,67,5,79,2183,56,2,64,199,1,7,55,5,33,1805,9,110,729,675,60,5,97,53
06/22/2020,20,39,7,3105,0,854,54,18,202,0,17,75,5,79,2194,58,2,66,200,1,7,56,7,35,1828,9,111,745,681,60,5,98,56
06/23/2020,20,39,7,3155,0,854,53,18,203,6,17,79,5,82,2235,58,2,65,201,1,7,58,7,35,1848,9,115,751,685,62,5,98,58
06/24/2020,20,39,8,3179,0,869,54,18,204,0,17,86,5,86,2250,58,2,69,203,1,7,58,7,37,1879,9,123,771,693,72,6,99,61
06/25/2020,20,40,9,3215,0,871,55,18,207,0,17,89,5,89,2268,59,2,71,207,1,7,64,9,37,1937,9,125,817,701,74,6,100,63
06/26/2020,20,39,11,3287,0,872,55,20,211,7,17,94,6,91,2276,59,2,79,209,1,7,65,11,38,1987,9,132,853,706,73,7,102,62
06/27/2020,20,46,11,3309,0,872,55,20,219,7,18,100,6,93,2357,59,2,79,210,1,7,68,12,39,2021,9,136,879,713,73,7,105,66
06/28/2020,20,46,11,3336,0,886,57,21,229,0,18,106,6,93,2392,59,2,83,214,1,8,73,12,40,2064,9,142,906,716,74,7,109,69
06/29/2020,20,49,11,3347,0,889,57,21,235,0,18,113,6,96,2405,60,2,89,214,1,8,77,12,40,2109,9,153,940,720,75,7,121,78
06/30/2020,20,49,11,3375,0,895,59,21,238,0,18,132,6,98,2422,60,2,94,215,1,8,79,11,42,2143,9,163,960,728,75,7,126,80
07/01/2020,20,49,11,3395,0,898,59,21,241,0,19,134,6,101,2460,60,2,95,215,1,8,80,12,43,2178,9,165,968,731,75,8,130,82
07/02/2020,20,54,12,3408,0,900,62,22,247,0,20,142,6,105,2472,60,2,100,217,1,8,82,13,43,2277,10,182,1010,740,75,8,138,84
07/03/2020,20,54,13,3450,0,911,68,22,254,0,21,147,6,106,2494,60,2,105,224,1,8,93,13,46,2331,10,186,1050,753,86,8,142,92
07/04/2020,20,58,13,3483,0,919,70,22,260,0,22,172,6,106,2515,60,2,112,234,1,8,97,14,48,2410,10,190,1105,761,89,8,146,102
07/05/2020,20,59,13,3502,0,919,71,22,268,0,24,187,6,106,2542,60,2,120,236,1,8,101,14,48,2471,9,193,1139,761,91,8,152,103
07/06/2020,20,60,14,3514,0,923,72,22,276,0,24,204,7,110,2560,61,2,127,244,1,9,104,14,49,2531,9,199,1222,769,91,8,157,104
07/07/2020,20,61,14,3525,0,927,74,23,284,0,24,211,8,119,2594,61,2,133,245,1,11,112,14,49,2618,9,201,1244,776,91,8,161,107
07/08/2020,20,62,16,3548,0,934,74,23,294,0,27,223,9,124,2612,61,2,147,246,1,11,113,14,51,2717,9,207,1296,793,90,8,169,116
07/09/2020,20,64,18,3567,0,937,76,23,303,0,29,230,12,128,2628,61,2,151,247,1,11,113,14,51,2816,9,227,1317,802,90,8,174,122
07/10/2020,20,72,19,3600,1,942,78,25,323,0,30,262,12,136,2659,62,2,158,248,1,11,115,14,51,2886,9,235,1361,813,90,8,181,125
