date,Hunterdon,Middlesex,Sussex,Bergen,Burlington,Camden,Cumberland,Hudson,Mercer,Ocean,Somerset,Unknown,Warren,Essex,Monmouth,Morris,Cape May,Passaic,Salem,Union,Gloucester,Atlantic
02/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/06/2020,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2020,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03/09/2020,0,0,0,5,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0
03/10/2020,0,0,0,7,2,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0
03/11/2020,0,2,0,11,2,1,0,1,0,0,0,0,0,0,4,0,0,1,0,1,0,0
03/12/2020,0,2,0,13,2,1,0,1,0,0,0,1,0,1,5,1,0,1,0,1,0,0
03/13/2020,0,4,0,17,3,2,0,3,0,1,0,1,0,6,7,3,0,2,0,1,0,0
03/14/2020,0,8,0,31,3,2,0,5,1,1,0,1,0,7,8,5,0,2,0,1,0,0
03/15/2020,0,9,0,32,4,2,0,10,1,2,0,1,0,11,11,6,0,5,0,4,0,0
03/16/2020,1,15,0,61,5,3,0,19,6,3,4,1,0,20,14,8,0,8,0,8,0,0
03/17/2020,4,20,0,84,5,3,0,24,9,4,6,1,1,32,22,19,0,10,0,22,2,0
03/18/2020,6,40,0,133,10,10,0,34,15,16,15,1,2,45,32,19,0,18,0,26,2,3
03/19/2020,8,64,2,297,14,11,0,55,20,33,20,1,4,63,43,26,1,38,0,29,3,3
03/20/2020,11,76,3,342,17,15,1,66,22,49,27,3,4,73,53,35,1,49,0,43,3,3
03/21/2020,14,116,6,362,20,15,1,97,30,62,34,151,5,107,92,64,2,67,0,81,6,4
03/22/2020,16,147,12,457,26,22,1,126,40,102,51,221,9,172,158,119,2,95,1,124,8,5
03/23/2020,18,210,15,609,36,33,1,190,50,144,67,416,15,273,238,177,2,141,1,189,13,6
03/24/2020,25,277,18,701,42,51,2,234,58,180,102,645,15,342,288,204,3,216,1,246,19,6
03/25/2020,25,316,27,819,48,61,3,260,82,222,117,933,18,381,313,223,4,255,1,262,23,9
03/26/2020,39,505,49,1206,64,73,4,441,111,389,179,1478,31,609,501,315,6,399,2,432,33,10
03/27/2020,52,640,65,1505,88,95,9,594,131,484,222,1984,38,826,634,391,7,484,3,519,40,14
03/28/2020,61,808,81,1838,115,123,11,771,168,624,258,2478,51,1086,781,442,7,608,3,742,51,17
03/29/2020,66,938,93,2169,142,163,11,974,202,759,295,3020,56,1227,870,566,9,831,3,896,72,24
03/30/2020,79,1123,113,2482,178,200,12,1314,249,874,349,3840,68,1564,1030,720,15,1091,3,1213,89,30
03/31/2020,97,1277,132,2909,202,228,18,1606,268,1022,413,3683,76,1900,1140,841,15,1294,12,1418,114,31
04/01/2020,117,1493,158,3494,255,289,27,1910,333,1209,472,4512,96,2262,1301,942,22,1494,19,1661,149,40
04/02/2020,130,1766,179,4099,294,343,31,2270,386,1371,549,4866,116,2617,1458,1082,34,1750,20,2010,169,50
04/03/2020,148,2125,210,4866,367,406,36,2835,484,1685,641,4805,149,3067,1743,1298,44,2216,25,2487,183,75
04/04/2020,171,2578,236,5760,469,481,40,3491,586,2003,765,3935,182,3584,2065,1618,50,2856,25,2916,215,98
04/05/2020,189,2950,267,6187,547,556,54,3924,654,2177,833,3821,195,4082,2354,1800,77,3227,26,3216,248,121
04/06/2020,211,3263,292,6862,646,645,64,4395,740,2374,902,3521,215,4493,2545,1956,85,3756,29,3685,279,132
04/07/2020,234,3717,331,7533,733,736,71,4949,837,2641,1033,2220,255,5078,2770,2239,94,4101,31,4358,311,144
04/08/2020,255,4156,357,7874,801,838,80,5437,992,2856,1189,1362,289,5598,3038,2468,100,4372,36,4831,340,168
04/09/2020,286,4628,392,8343,883,990,111,5879,1161,3093,1335,996,319,6069,3248,2645,109,4690,43,5203,413,191
04/10/2020,293,5060,413,8928,954,1072,138,6411,1282,3269,1523,649,337,6580,3496,2771,116,5017,46,5575,447,211
04/11/2020,301,5406,456,9362,1031,1180,154,6851,1434,3403,1642,924,362,7007,3651,2925,129,5295,56,5865,487,230
04/12/2020,314,5693,483,9784,1095,1270,165,7469,1567,3554,1732,1274,395,7410,3785,3099,145,5590,61,6180,532,253
04/13/2020,325,5987,508,10092,1155,1401,187,7879,1646,3593,1809,1203,416,7634,3875,3225,164,5950,66,6636,566,267
04/14/2020,349,6313,535,10426,1207,1477,201,8242,1731,3833,1911,1702,442,8212,4003,3424,169,6438,73,7265,587,284
04/15/2020,356,6576,551,10848,1261,1587,210,8511,1856,4016,2001,1189,468,8579,4122,3525,178,6750,84,7438,602,322
04/16/2020,373,6994,578,11409,1326,1734,223,9165,2037,4272,2103,1048,501,9084,4299,3701,186,7317,95,7904,624,344
04/17/2020,385,7308,591,11863,1366,1807,263,9636,2123,4424,2195,719,521,9672,4414,3822,189,7604,102,8429,664,370
04/18/2020,391,7624,626,12163,1456,1918,272,9956,2215,4548,2283,748,543,9901,4528,3984,199,7936,105,8959,683,382
04/19/2020,407,8017,659,12639,1587,2131,308,10486,2395,4648,2384,585,592,10304,4669,4136,206,8288,116,9609,737,398
04/20/2020,419,8346,680,13011,1663,2255,338,11150,2591,4868,2488,669,613,10729,4787,4236,212,8479,120,9972,770,410
04/21/2020,422,8767,712,13356,1765,2379,360,11636,2753,5036,2599,599,642,11128,4947,4435,217,8941,127,10289,808,469
04/22/2020,434,9047,743,13686,1878,2528,382,12039,2845,5234,2688,1045,689,11387,5086,4556,227,9392,134,10484,856,505
04/23/2020,464,9530,784,14049,1969,2683,424,12645,2991,5444,2798,1108,719,11811,5238,4680,236,9874,164,10935,899,544
04/24/2020,490,9789,795,14363,2054,2750,466,13011,3086,5612,2921,532,729,12110,5368,4716,247,10291,169,11208,923,566
04/25/2020,505,10075,812,14738,2153,2870,504,13367,3245,5811,3030,557,750,12520,5521,4821,261,10738,177,11523,949,596
04/26/2020,536,10642,855,14965,2333,2983,520,13708,3355,5962,3144,681,778,12863,5671,4976,281,11137,181,11853,976,638
04/27/2020,564,10767,864,15104,2407,3124,595,13925,3433,6024,3204,818,810,13047,5759,5030,281,11349,212,12011,1111,749
04/28/2020,573,11102,882,15251,2543,3285,659,14309,3605,6151,3278,718,848,13190,5826,5128,299,11755,219,12188,1179,868
04/29/2020,583,11436,900,15446,2606,3385,687,14596,3725,6253,3372,617,880,13445,5907,5213,305,12185,227,12380,1208,908
04/30/2020,603,11715,921,15610,2690,3519,723,14916,3937,6375,3464,478,903,13682,6033,5287,323,12449,231,12578,1251,964
05/01/2020,608,11947,936,15830,2769,3646,746,15148,4077,6505,3537,583,920,13994,6132,5354,334,12814,237,12779,1282,1012
05/02/2020,622,12213,949,15974,2879,3773,809,15401,4271,6692,3605,676,941,14248,6198,5406,337,13082,261,12996,1334,1050
05/03/2020,661,12597,969,16185,3043,3973,881,15769,4504,6871,3703,641,957,14521,6290,5517,344,13364,270,13225,1384,1075
05/04/2020,665,12768,979,16282,3100,4073,940,15881,4594,6974,3753,647,977,14621,6378,5549,355,13496,312,13357,1433,1135
05/05/2020,679,13142,987,16460,3207,4251,985,16099,4743,7060,3820,550,982,14840,6490,5625,369,13797,347,13503,1467,1190
05/06/2020,682,13254,995,16520,3235,4307,1059,16197,4860,7125,3860,594,993,14951,6552,5655,378,13971,353,13604,1499,1246
05/07/2020,685,13411,1006,16609,3367,4479,1090,16354,4986,7209,3914,552,1004,15095,6649,5702,401,14133,358,13781,1548,1302
05/08/2020,701,13617,1015,16709,3431,4619,1124,16520,5111,7277,3968,553,1034,15256,6752,5767,424,14280,363,13917,1593,1423
05/09/2020,706,13759,1023,16804,3531,4758,1245,16675,5233,7366,3996,557,1040,15365,6815,5833,442,14428,400,13984,1631,1494
05/10/2020,714,13937,1026,16929,3574,4870,1287,16822,5317,7462,4054,591,1044,15524,6894,5854,458,14543,411,14057,1654,1510
05/11/2020,723,14036,1033,17028,3665,4959,1363,16936,5393,7569,4093,729,1047,15602,6988,5876,462,14645,411,14164,1690,1533
05/12/2020,729,14121,1038,17091,3697,5043,1427,16975,5426,7633,4115,704,1061,15658,7041,5908,471,14716,418,14203,1710,1558
05/13/2020,732,14241,1041,17150,3726,5099,1447,17035,5499,7688,4127,662,1066,15749,7090,5926,479,14757,428,14306,1728,1584
05/14/2020,764,14332,1046,17080,3782,5172,1471,17134,5612,7742,4159,802,1068,15824,7164,5954,483,14887,438,14385,1756,1649
05/15/2020,777,14429,1047,17195,3849,5255,1488,17237,5673,7829,4181,885,1072,15953,7224,5990,487,14930,446,14492,1788,1678
05/16/2020,795,14514,1053,17246,3875,5381,1592,17326,5719,7878,4212,996,1077,16032,7297,6012,500,15031,457,14569,1811,1716
05/17/2020,808,14668,1056,17361,3937,5455,1608,17447,5825,7913,4255,949,1078,16140,7339,6036,503,15205,459,14702,1832,1758
05/18/2020,846,14752,1061,17459,3986,5573,1679,17574,5950,7994,4278,835,1086,16600,7408,6092,506,15278,465,14903,1907,1807
05/19/2020,885,14834,1063,17522,4000,5644,1759,17621,6018,8067,4312,778,1091,16686,7470,6100,518,15371,470,15031,1935,1838
05/20/2020,920,14954,1069,17518,4058,5738,1830,17748,6162,8165,4349,855,1100,16852,7541,6139,531,15426,481,15122,1966,1875
05/21/2020,925,15057,1077,17583,4097,5818,1869,17814,6205,8214,4390,1026,1111,16906,7637,6155,534,15497,484,15176,2002,1895
05/22/2020,938,15165,1075,17653,4217,5923,1921,17897,6295,8285,4416,1123,1118,17014,7695,6171,545,15604,523,15191,2031,1919
05/23/2020,938,15215,1077,17668,4252,5953,1924,17910,6351,8316,4425,1110,1119,17065,7720,6192,558,15610,535,15186,2044,1936
05/24/2020,960,15351,1079,17804,4308,6024,1947,17977,6413,8372,4450,1200,1125,17142,7800,6207,561,15686,552,15169,2066,1961
05/25/2020,966,15437,1084,17901,4355,6103,1991,18051,6491,8430,4480,1100,1132,17202,7865,6259,570,15774,566,15218,2089,2028
05/26/2020,967,15499,1089,17963,4381,6171,2024,18096,6544,8462,4489,1083,1136,17255,7911,6279,571,15826,573,15293,2103,2049
05/27/2020,973,15547,1095,18023,4432,6227,2098,18132,6592,8514,4505,1172,1145,17338,7961,6289,592,15873,579,15324,2130,2087
05/28/2020,974,15633,1104,18158,4476,6292,2146,18226,6670,8577,4522,1162,1146,17450,8012,6354,602,15959,592,15475,2165,2120
05/29/2020,981,15734,1106,18223,4519,6350,2209,18287,6775,8627,4552,1095,1153,17546,8100,6367,611,16045,602,15610,2198,2154
05/30/2020,985,15824,1110,18211,4567,6425,2259,18343,6850,8700,4567,970,1162,17594,8159,6383,615,16099,621,15764,2217,2183
05/31/2020,993,15921,1110,18272,4627,6510,2298,18419,6933,8748,4583,870,1160,17629,8219,6463,617,16170,634,15821,2234,2214
06/01/2020,996,15977,1114,18302,4657,6543,2310,18428,6961,8770,4595,863,1165,17695,8249,6506,623,16200,639,15858,2245,2222
06/02/2020,999,16021,1123,18333,4680,6603,2345,18455,7004,8817,4605,946,1173,17752,8289,6512,628,16234,645,15868,2262,2251
06/03/2020,1006,16066,1128,18376,4700,6645,2431,18460,7033,8853,4619,854,1182,17811,8332,6540,629,16277,653,15911,2278,2284
06/04/2020,1009,16072,1131,18408,4725,6663,2469,18465,7072,8900,4626,836,1186,17912,8379,6548,630,16311,659,15953,2290,2286
06/05/2020,1015,16137,1130,18463,4746,6732,2531,18518,7120,8954,4651,785,1189,18019,8428,6572,637,16387,665,16038,2310,2309
06/06/2020,1022,16203,1136,18492,4769,6785,2557,18548,7148,8979,4664,782,1190,18066,8454,6584,643,16436,670,16116,2319,2330
06/07/2020,1023,16198,1140,18512,4785,6799,2564,18565,7166,9022,4662,744,1189,18077,8478,6592,646,16449,675,16186,2328,2364
06/08/2020,1025,16227,1141,18538,4798,6827,2575,18584,7184,9041,4670,732,1192,18117,8498,6602,647,16461,682,16241,2332,2383
06/09/2020,1027,16251,1140,18573,4808,6849,2583,18607,7204,9059,4679,680,1193,18151,8512,6605,654,16492,686,16302,2340,2401
06/10/2020,1028,16288,1144,18667,4826,6903,2604,18647,7245,9100,4698,665,1197,18206,8563,6596,662,16524,687,16317,2357,2422
06/11/2020,1032,16327,1149,18719,4832,6938,2627,18675,7275,9166,4721,653,1198,18234,8627,6601,663,16555,689,16337,2367,2431
06/12/2020,1034,16353,1150,18743,4848,6952,2645,18693,7295,9200,4736,677,1200,18295,8660,6556,664,16581,699,16351,2379,2453
06/13/2020,1038,16385,1153,18805,4866,6986,2661,18717,7323,9222,4756,667,1202,18336,8720,6568,669,16612,705,16337,2402,2475
06/14/2020,1039,16430,1154,18818,4876,7018,2666,18746,7351,9244,4759,663,1202,18364,8740,6581,671,16627,706,16322,2414,2490
06/15/2020,1041,16458,1155,18848,4894,7025,2697,18765,7371,9258,4764,651,1202,18375,8761,6588,672,16649,708,16308,2416,2497
06/16/2020,1042,16474,1161,18901,4929,7040,2728,18744,7381,9279,4767,664,1205,18388,8786,6599,681,16664,711,16320,2423,2539
06/17/2020,1049,16513,1167,18928,4935,7047,2745,18755,7393,9306,4780,643,1206,18421,8804,6627,682,16683,723,16315,2428,2553
06/18/2020,1049,16547,1170,18949,4954,7061,2755,18753,7416,9351,4786,683,1205,18499,8830,6652,680,16706,736,16304,2438,2583
06/19/2020,1050,16563,1176,18967,4981,7088,2767,18761,7463,9382,4796,693,1209,18533,8876,6679,681,16725,745,16291,2451,2619
06/20/2020,1053,16592,1176,18996,4994,7117,2792,18775,7489,9413,4806,710,1211,18515,8925,6689,705,16735,748,16298,2457,2638
06/21/2020,1054,16605,1176,19010,5023,7135,2847,18744,7541,9425,4813,663,1216,18551,8942,6699,688,16769,750,16322,2467,2702
06/22/2020,1060,16618,1178,19037,5046,7153,2876,18755,7549,9440,4819,656,1218,18578,8965,6718,692,16772,752,16340,2471,2722
06/23/2020,1062,16640,1178,19069,5056,7163,2894,18773,7560,9466,4818,697,1221,18592,8998,6727,694,16794,752,16341,2489,2750
06/24/2020,1064,16640,1180,19097,5068,7185,2908,18771,7572,9486,4819,698,1222,18617,9008,6724,697,16788,750,16330,2497,2771
06/25/2020,1120,16867,1220,19430,5122,7259,2929,18946,7633,9576,4909,706,1235,18874,9123,6831,708,16967,755,16514,2525,2801
06/26/2020,1120,16885,1222,19527,5130,7292,2937,18959,7659,9603,4912,701,1236,18903,9150,6844,710,16991,758,16536,2538,2825
06/27/2020,1120,16924,1221,19538,5163,7325,2948,18985,7657,9613,4922,697,1238,18933,9175,6861,709,17016,759,16533,2554,2836
06/28/2020,1129,16964,1226,19617,5174,7331,2954,19005,7664,9638,4938,651,1239,18953,9201,6876,736,17015,760,16548,2564,2853
06/29/2020,1131,16964,1227,19638,5180,7344,2958,19009,7672,9643,4939,636,1241,18968,9203,6881,716,17024,766,16557,2570,2859
06/30/2020,1135,17016,1229,19686,5206,7364,2975,19012,7697,9682,4950,642,1244,18995,9233,6884,744,17027,772,16566,2585,2877
07/01/2020,1136,17025,1234,19708,5227,7415,2992,19013,7714,9695,4962,643,1252,19008,9256,6903,716,17042,782,16564,2603,2892
07/02/2020,1138,17048,1235,19735,5259,7457,3004,19041,7736,9699,4992,672,1254,19045,9307,6924,717,17067,784,16569,2617,2912
07/03/2020,1140,17080,1236,19793,5276,7470,3011,19080,7754,9734,4999,658,1257,19083,9344,6937,718,17074,799,16591,2626,2938
07/04/2020,1142,17097,1247,19823,5281,7485,3018,19112,7770,9750,5008,679,1260,19100,9368,6947,719,17088,802,16616,2637,2940
07/05/2020,1143,17109,1246,19886,5300,7530,3030,19143,7783,9774,5017,685,1264,19128,9404,6956,720,17101,807,16630,2652,2950
07/06/2020,1145,17153,1248,19916,5315,7547,3034,19157,7788,9784,5023,695,1266,19136,9416,6967,724,17110,810,16607,2663,2963
07/07/2020,1145,17162,1251,19937,5333,7587,3042,19183,7799,9806,5025,682,1269,19159,9442,6977,724,17121,812,16625,2678,2975
07/08/2020,1146,17152,1256,19993,5344,7624,3043,19191,7794,9821,5030,747,1273,19161,9458,7001,722,17125,813,16618,2698,2976
07/09/2020,1150,17158,1257,20043,5357,7652,3045,19216,7809,9846,5038,665,1275,19177,9469,7018,727,17158,816,16646,2704,2991
07/10/2020,1152,17211,1258,20099,5373,7683,3056,19235,7817,9854,5060,667,1276,19203,9502,7029,730,17188,817,16644,2719,3002
