date,Benewah,Boise,Bonner,Caribou,Cassia,Elmore,Jerome,Latah,Lemhi,Minidoka,Oneida,Twin Falls,Ada,Bingham,Blaine,Bonneville,Clearwater,Custer,Gooding,Jefferson,Lincoln,Owyhee,Payette,Teton,Unknown,Adams,Camas,Franklin,Idaho,Lewis,Nez Perce,Washington,Bear Lake,Boundary,Canyon,Gem,Kootenai,Madison,Shoshone,Valley,Fremont,Power,Bannock
02/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/19/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03/18/2020,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03/19/2020,0,0,0,0,0,0,0,0,0,0,0,1,3,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03/20/2020,0,0,0,0,0,0,0,0,0,0,0,1,4,1,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0
03/21/2020,0,0,0,0,0,0,0,0,0,0,0,1,11,1,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0
03/22/2020,0,0,0,0,0,0,0,0,0,0,0,1,13,1,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,1,0,0,0
03/23/2020,0,0,0,0,0,0,0,0,0,0,0,1,15,1,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,1,0,0,0
03/24/2020,0,0,0,0,1,0,0,0,0,0,0,1,22,1,33,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,3,2,0,1,0,0,2
03/25/2020,0,0,0,0,1,0,0,0,0,0,0,1,37,1,52,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,1,0,0,0,8,0,9,2,0,1,1,0,3
03/26/2020,0,0,0,0,1,0,0,0,0,0,0,1,54,1,82,0,0,1,0,2,0,0,1,2,1,0,0,0,1,0,4,0,0,0,22,0,10,2,0,1,1,0,2
03/27/2020,0,0,0,0,1,0,0,0,0,0,0,2,76,1,99,0,0,1,0,2,0,0,1,2,1,0,0,0,1,0,4,0,0,0,23,1,11,2,0,1,1,0,3
03/28/2020,0,0,0,0,1,0,0,0,0,0,0,2,88,1,114,1,0,1,0,2,1,0,1,2,0,0,0,0,1,0,4,0,0,0,22,1,13,2,0,1,1,0,3
03/29/2020,0,0,0,0,1,0,0,0,0,0,0,3,113,1,115,1,0,1,0,2,1,1,1,2,0,0,0,0,1,0,4,0,0,0,40,3,13,2,0,1,1,0,3
03/30/2020,0,0,1,0,1,1,1,0,0,1,0,5,151,1,148,2,0,1,0,2,1,1,1,2,0,0,0,0,1,0,7,0,0,0,48,3,28,2,0,2,1,0,3
03/31/2020,0,0,1,0,1,3,2,0,0,1,0,6,195,2,192,2,0,2,0,3,2,1,1,2,0,1,1,0,1,0,9,0,0,0,53,4,30,4,0,2,1,0,4
04/01/2020,0,0,1,0,1,3,4,1,0,1,0,17,226,2,265,2,0,2,1,3,5,1,3,3,0,1,1,0,2,0,10,0,0,0,68,4,31,4,0,2,1,0,4
04/02/2020,0,0,1,0,3,9,8,1,0,1,0,32,307,2,351,3,0,2,1,3,5,2,5,3,0,1,1,0,2,0,13,1,0,0,79,6,37,4,0,3,1,0,4
04/03/2020,0,0,2,0,4,10,11,1,0,1,0,33,351,2,405,5,0,2,1,3,7,2,5,3,0,1,1,0,2,0,13,1,0,0,89,7,37,4,0,3,1,0,5
04/04/2020,0,0,2,1,4,11,13,1,0,3,0,37,385,2,410,5,0,2,1,3,9,2,5,4,0,1,1,0,2,0,13,1,0,0,99,7,40,4,0,2,1,0,5
04/05/2020,0,0,2,1,4,11,13,1,0,3,0,37,402,2,410,6,0,2,1,4,9,2,6,4,0,1,1,0,2,0,13,1,0,0,101,7,42,4,0,2,1,0,5
04/06/2020,0,0,3,1,5,12,18,2,0,3,0,53,419,2,423,6,0,2,3,4,12,2,6,5,0,1,1,0,3,0,15,1,0,0,104,8,43,4,0,2,2,0,5
04/07/2020,0,0,3,1,5,14,18,2,0,3,0,53,438,2,428,7,0,2,3,4,12,2,6,5,0,1,1,0,3,0,17,1,0,0,114,8,42,4,0,2,2,2,5
04/08/2020,0,0,3,1,5,14,19,2,0,3,0,55,447,2,428,7,0,2,4,4,12,2,6,6,0,1,1,0,3,0,18,1,0,0,121,8,42,4,0,2,2,2,5
04/09/2020,0,0,3,1,6,16,24,3,0,7,0,73,496,2,446,11,0,2,5,5,14,4,8,6,0,1,1,0,3,0,21,1,0,0,139,8,42,7,0,2,2,2,5
04/10/2020,0,0,4,1,7,16,32,3,0,8,0,76,516,2,453,17,0,2,5,5,14,4,8,6,3,1,1,0,3,0,21,1,0,0,145,9,44,9,0,2,2,2,6
04/11/2020,0,0,4,1,7,16,33,3,0,8,0,80,521,2,455,18,0,2,5,5,14,4,8,6,0,1,1,0,3,0,21,1,0,0,146,9,44,8,0,2,2,2,6
04/12/2020,0,0,4,1,8,16,33,3,0,9,0,85,521,2,455,19,0,2,5,5,15,4,8,6,0,1,1,0,3,0,21,1,0,0,155,9,45,8,0,2,2,2,6
04/13/2020,0,0,4,1,9,16,34,3,0,9,0,86,539,2,463,22,0,2,5,5,15,4,9,6,0,1,1,0,3,0,23,1,0,0,161,10,45,8,0,2,2,2,6
04/14/2020,0,0,4,1,9,18,34,3,0,9,0,89,557,2,463,24,0,2,5,5,15,4,9,7,0,1,1,0,3,0,26,1,0,0,169,10,45,8,0,2,2,2,8
04/15/2020,0,0,4,1,9,18,38,3,0,9,0,99,567,2,469,24,0,2,7,5,15,4,10,7,0,1,1,0,3,0,27,1,0,0,181,10,48,8,0,2,2,2,8
04/16/2020,0,0,4,1,10,18,41,3,0,9,0,100,576,3,473,24,0,2,7,5,15,4,10,7,0,1,1,0,3,0,29,1,0,0,181,10,49,8,0,2,2,2,8
04/17/2020,0,0,4,1,10,21,44,3,0,10,0,110,593,3,475,24,0,2,7,5,16,4,10,8,0,1,1,0,3,0,30,1,0,0,187,10,50,8,0,2,2,2,8
04/18/2020,0,0,4,1,10,22,44,3,0,10,0,115,598,3,475,24,0,2,8,5,17,4,10,8,0,1,1,0,3,0,30,1,0,0,187,10,50,8,0,2,2,2,8
04/19/2020,0,0,4,1,10,22,44,3,0,10,0,117,598,3,476,24,0,2,8,5,17,4,10,8,0,1,1,0,3,0,30,1,0,0,187,10,51,8,0,2,2,2,8
04/20/2020,0,0,4,1,11,24,44,4,0,10,0,123,616,3,478,24,0,2,8,5,17,4,11,8,0,3,1,0,3,0,40,1,0,0,207,10,52,8,0,2,2,2,8
04/21/2020,0,0,4,1,11,25,44,4,0,10,0,132,622,3,480,24,0,2,8,5,18,5,11,8,0,3,1,0,3,0,44,1,0,0,212,10,53,8,0,2,2,2,8
04/22/2020,0,0,4,1,12,28,44,4,0,10,0,138,630,3,484,28,0,2,8,5,20,6,11,8,0,3,1,0,3,0,45,1,0,0,215,10,56,8,0,2,2,2,8
04/23/2020,0,0,4,1,12,32,44,4,0,10,0,139,635,3,485,28,0,2,9,5,21,6,11,8,0,3,1,0,3,0,55,1,0,0,222,11,59,8,0,2,2,2,8
04/24/2020,0,0,4,1,12,32,45,4,0,10,0,149,642,3,489,28,0,2,9,5,21,8,13,8,0,3,1,0,3,0,58,2,0,0,226,11,59,8,0,2,2,2,8
04/25/2020,0,0,4,1,12,29,46,4,1,10,0,152,650,3,490,28,0,2,9,5,22,8,13,8,0,3,1,0,3,0,58,1,0,0,231,12,59,8,0,2,2,2,8
04/26/2020,0,0,4,1,12,29,46,4,1,10,0,156,650,3,492,28,0,2,9,5,22,8,13,8,0,3,1,0,3,0,58,1,0,0,233,12,61,8,0,2,2,2,8
04/27/2020,0,0,4,1,12,29,46,4,1,10,0,157,661,3,493,26,0,2,9,5,23,8,14,8,0,3,1,0,3,0,59,1,0,0,238,12,61,9,0,2,2,2,8
04/28/2020,0,0,4,1,12,30,48,5,1,11,0,165,662,3,497,27,0,2,9,5,24,8,14,9,0,3,1,0,3,0,59,1,0,0,250,12,61,9,0,2,2,2,10
04/29/2020,0,0,4,1,12,30,51,5,1,11,0,170,671,4,498,28,0,2,11,5,27,8,16,9,0,3,1,0,3,0,60,1,0,0,252,12,61,10,0,2,2,2,11
04/30/2020,0,0,4,1,13,30,54,5,1,11,0,181,681,4,498,28,0,2,12,5,27,8,16,9,0,3,1,0,3,0,60,1,0,0,255,13,62,11,0,2,2,2,11
05/01/2020,0,0,4,1,13,30,54,5,1,10,0,191,689,4,497,28,0,2,11,5,27,8,16,9,0,3,1,0,3,0,60,1,0,0,259,13,62,11,0,2,2,2,11
05/02/2020,0,0,4,1,13,30,55,5,1,11,0,196,705,4,497,28,0,2,12,5,29,8,16,9,0,3,1,0,3,0,60,1,0,0,258,13,62,12,0,2,2,2,11
05/03/2020,0,0,4,1,13,30,55,5,1,10,0,196,705,4,497,28,0,2,11,5,29,8,16,9,0,3,1,0,3,0,60,1,0,0,258,13,62,12,0,2,2,2,11
05/04/2020,0,0,4,1,13,30,57,5,1,11,0,208,710,4,498,28,0,2,13,5,29,8,17,9,0,3,1,0,3,0,74,1,0,0,266,14,62,12,0,2,2,2,11
05/05/2020,0,0,4,1,13,30,61,5,1,11,0,218,713,4,499,28,0,2,13,5,29,8,17,10,0,3,1,0,3,0,74,1,0,0,266,14,62,13,0,2,3,2,11
05/06/2020,0,0,4,1,13,31,64,5,1,11,0,231,717,4,499,28,0,2,14,5,29,8,17,10,0,3,1,0,3,0,78,1,0,0,270,14,62,13,0,2,3,2,12
05/07/2020,0,0,4,1,13,31,65,5,1,11,0,239,721,4,499,28,0,2,16,5,29,8,17,10,0,3,1,0,3,0,78,1,0,0,272,14,62,16,0,2,3,2,12
05/08/2020,0,0,4,1,14,31,67,5,1,11,0,248,731,4,499,30,0,2,16,5,29,8,17,10,0,3,1,0,3,0,78,1,0,0,272,16,63,16,0,2,3,2,12
05/09/2020,0,0,4,1,15,31,71,5,1,11,0,259,733,4,503,30,0,2,17,5,29,8,17,11,0,3,1,0,3,0,78,1,0,0,272,16,63,17,0,2,3,2,12
05/10/2020,0,0,4,1,15,31,71,5,1,11,0,259,733,4,503,30,0,2,17,5,29,8,17,11,0,3,1,0,3,0,78,1,0,0,272,16,63,19,0,2,3,2,12
05/11/2020,0,0,4,1,15,31,75,5,1,11,0,269,739,4,506,30,0,2,18,5,29,8,17,11,0,3,1,0,3,0,78,2,0,0,274,16,64,19,0,2,3,2,13
05/12/2020,0,0,4,1,15,31,81,5,1,12,0,280,744,4,506,30,0,2,20,5,29,8,17,11,0,3,1,0,3,0,79,8,0,0,274,16,64,19,0,2,3,3,13
05/13/2020,0,0,4,1,16,31,84,6,1,13,0,288,754,6,507,30,0,2,21,5,29,8,17,11,0,3,1,0,3,0,79,10,0,0,275,16,64,19,0,2,3,3,13
05/14/2020,0,0,4,1,16,31,87,6,1,15,0,298,759,6,507,30,0,2,22,5,29,8,19,11,0,3,1,0,3,0,79,13,0,0,276,16,64,19,0,2,3,3,13
05/15/2020,0,0,4,1,16,31,88,6,1,15,0,310,770,6,508,30,0,2,24,6,29,8,20,11,0,3,1,0,3,0,79,20,0,0,277,16,64,18,0,2,3,3,14
05/16/2020,0,0,4,1,18,31,95,6,1,15,0,318,773,6,508,33,0,2,25,7,29,8,20,11,0,3,1,0,3,0,79,23,0,0,277,16,65,19,0,2,3,3,14
05/17/2020,0,0,4,1,18,31,95,6,1,15,0,318,773,6,508,33,0,2,25,7,29,8,20,11,0,3,1,0,3,0,79,23,0,0,277,16,66,20,0,2,3,3,14
05/18/2020,0,0,4,1,19,31,102,6,1,15,0,326,780,6,508,33,0,2,26,7,29,8,22,11,0,3,1,0,3,0,79,30,0,0,276,16,66,20,0,2,3,3,16
05/19/2020,0,0,4,1,19,31,105,6,1,18,0,332,783,6,509,32,0,2,27,7,29,8,22,11,0,3,1,0,3,0,79,31,0,0,280,16,66,20,0,2,3,3,16
05/20/2020,0,0,4,1,20,31,110,6,1,20,0,340,792,6,509,32,0,2,29,7,29,8,22,11,0,3,1,0,3,0,81,32,0,0,280,16,66,20,0,2,3,3,16
05/21/2020,0,0,4,1,21,31,114,6,1,25,0,348,791,6,510,32,0,2,32,7,29,9,23,11,0,3,1,0,3,0,81,33,0,0,283,17,66,20,0,2,3,3,16
05/22/2020,0,0,4,1,22,31,137,7,1,26,0,374,794,6,510,32,0,2,35,7,30,8,23,11,0,3,1,0,3,0,81,34,0,0,284,17,66,20,0,2,3,3,17
05/23/2020,0,0,4,1,28,31,145,7,1,29,0,381,796,6,510,32,0,2,39,7,30,8,23,11,31,3,1,0,3,0,81,34,0,0,284,17,66,20,0,2,3,3,18
05/24/2020,0,0,4,1,39,31,145,7,1,36,0,383,796,6,510,33,0,2,39,7,30,9,23,11,31,3,1,0,3,0,81,34,0,0,284,17,66,20,0,2,3,3,20
05/25/2020,1,0,4,1,39,31,145,7,1,36,0,393,798,6,510,33,0,2,39,7,30,9,23,11,0,3,1,0,3,0,81,34,0,0,284,17,66,21,0,2,3,3,20
05/26/2020,3,0,4,1,49,31,154,7,1,40,0,396,798,6,510,33,0,2,40,7,32,9,23,11,0,3,1,0,3,0,82,34,0,0,287,17,66,21,0,2,3,3,20
05/27/2020,7,0,4,1,50,31,156,7,1,43,0,404,800,6,512,33,0,2,44,7,33,9,23,11,0,3,1,0,3,0,82,34,0,0,291,17,67,21,0,2,3,3,20
05/28/2020,9,0,4,1,56,31,161,7,1,45,0,410,803,6,512,37,0,2,46,7,33,9,23,11,0,3,1,0,3,0,82,36,0,0,294,17,67,21,0,2,3,3,24
05/29/2020,8,0,6,1,62,31,165,7,1,46,0,416,805,6,512,37,0,2,47,7,33,9,23,11,0,3,1,1,3,0,82,38,0,0,300,17,67,21,0,2,3,4,27
05/30/2020,8,0,6,1,63,31,169,7,1,50,0,419,812,6,512,47,0,2,47,7,33,9,23,11,0,3,1,2,3,0,82,38,0,0,303,17,68,21,0,2,3,5,28
05/31/2020,8,0,6,1,63,31,172,7,1,50,0,424,812,7,512,47,0,2,48,7,33,8,23,11,0,3,1,2,3,0,82,38,0,0,303,17,68,22,0,2,4,6,31
06/01/2020,12,0,6,1,75,31,174,7,1,56,0,425,818,8,512,47,0,2,49,7,33,8,23,11,0,3,1,9,3,0,82,38,0,0,310,17,73,22,0,2,4,6,32
06/02/2020,12,0,6,1,85,31,175,7,1,58,0,428,818,8,512,51,0,2,49,7,33,8,23,11,0,3,1,9,3,0,82,43,0,0,310,17,73,22,0,2,4,6,34
06/03/2020,14,0,6,3,89,32,180,7,1,61,0,432,823,11,514,56,0,2,50,9,33,8,25,11,0,3,1,9,3,0,83,44,0,0,315,17,74,25,0,2,4,6,37
06/04/2020,17,0,6,3,102,32,191,7,1,66,0,435,832,12,514,59,0,2,53,9,33,8,26,11,0,3,1,9,3,0,83,45,0,0,322,17,77,25,0,2,4,6,38
06/05/2020,17,0,6,3,109,32,194,7,1,71,0,437,833,20,514,60,0,2,55,9,33,8,26,11,0,3,1,8,3,0,83,46,0,0,336,17,81,27,0,2,4,7,45
06/06/2020,18,0,6,3,112,32,194,7,1,72,0,445,838,20,514,60,0,2,56,9,34,8,26,11,0,3,1,9,3,0,83,46,0,0,340,17,82,27,0,2,4,7,47
06/07/2020,18,0,6,4,112,32,194,7,1,72,0,445,838,23,514,62,0,2,56,9,34,8,26,11,0,3,1,10,3,0,83,46,0,0,340,17,82,27,0,2,4,8,53
06/08/2020,18,0,6,4,117,32,198,7,1,78,0,456,844,23,514,64,0,2,57,9,34,8,26,11,0,3,1,10,3,0,83,46,0,0,345,17,85,27,0,3,4,8,53
06/09/2020,17,0,7,4,118,33,201,7,1,80,0,463,848,23,514,68,0,2,57,9,34,8,26,11,0,3,1,10,3,0,83,46,0,0,345,17,91,27,0,3,4,9,53
06/10/2020,19,0,7,4,123,33,202,7,1,85,0,469,854,23,515,68,0,2,57,9,34,8,26,11,0,3,1,10,3,0,84,49,0,0,351,17,91,27,0,3,4,9,53
06/11/2020,19,0,7,4,126,34,204,7,1,87,0,470,866,23,515,69,0,2,58,9,35,8,27,11,0,3,1,11,3,0,84,49,0,0,354,17,96,28,0,3,4,9,59
06/12/2020,19,0,7,4,131,34,205,7,1,98,0,480,877,23,515,73,0,2,58,10,35,8,27,11,0,4,1,12,3,0,84,50,0,0,356,17,98,29,0,3,4,9,59
06/13/2020,19,0,7,5,136,34,206,7,1,101,0,479,892,24,515,79,0,2,59,12,35,8,27,11,0,4,1,14,3,0,84,55,0,0,356,17,98,29,0,3,4,9,63
