date,Dorchester,Harford,Montgomery,Prince George's,Talbot,Unknown,Wicomico,Anne Arundel,Baltimore,Baltimore city,Caroline,Carroll,Howard,Allegany,Garrett,Queen Anne's,Somerset,Worcester,Calvert,Frederick,St. Mary's,Washington,Charles,Kent,Cecil
03/13/2020,0,1,6,7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
03/14/2020,0,2,12,7,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
03/15/2020,0,2,12,9,0,0,0,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
03/16/2020,0,2,15,10,1,0,0,2,4,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
03/17/2020,0,2,24,14,1,0,0,3,4,3,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0
03/18/2020,0,3,31,20,1,0,0,4,7,7,0,1,8,0,0,0,0,0,0,1,0,0,2,0,0
03/19/2020,0,3,33,23,1,0,1,5,13,7,0,2,16,0,0,0,0,0,1,1,0,0,2,0,0
03/20/2020,0,5,51,31,1,0,1,10,13,11,0,4,18,0,0,0,0,1,1,1,0,0,2,0,0
03/21/2020,0,5,68,36,1,0,2,16,19,15,1,4,19,0,0,0,1,1,1,1,0,1,4,0,0
03/22/2020,0,5,83,40,1,0,2,19,28,24,1,4,24,0,0,0,1,2,2,1,1,1,5,0,1
03/23/2020,0,5,93,47,1,0,4,20,35,31,1,5,26,0,3,1,1,2,2,4,1,2,5,0,1
03/24/2020,0,5,107,63,1,0,4,24,42,41,1,5,30,0,3,1,1,2,3,4,2,2,5,0,3
03/25/2020,0,5,127,76,1,0,4,31,51,53,1,5,35,0,3,1,1,2,3,7,2,2,8,1,4
03/26/2020,0,9,164,101,1,0,5,42,81,72,1,7,49,0,3,1,1,2,7,14,4,2,10,1,4
03/27/2020,0,18,208,148,1,0,6,63,103,103,1,9,62,0,3,1,1,2,9,15,4,5,17,2,9
03/28/2020,0,21,255,196,2,0,6,88,141,112,1,83,73,0,3,1,1,2,9,22,8,6,21,2,13
03/29/2020,0,23,301,247,3,0,6,99,162,129,3,83,81,0,3,4,1,2,14,24,9,6,28,3,13
03/30/2020,0,24,341,294,4,0,7,110,186,152,4,83,96,0,3,4,1,3,12,26,9,7,33,3,13
03/31/2020,0,25,388,341,3,0,7,127,227,187,4,94,117,0,3,4,1,3,15,33,15,11,40,3,14
04/01/2020,1,34,447,403,3,34,7,158,289,187,4,96,142,0,3,7,4,4,18,35,19,15,56,3,16
04/02/2020,1,37,498,473,4,0,7,206,353,265,4,105,152,1,3,8,4,5,22,45,27,17,69,5,20
04/03/2020,1,41,566,563,5,0,7,249,427,313,4,129,166,2,3,12,4,5,30,54,30,27,90,5,25
04/04/2020,1,44,640,653,6,0,8,289,491,343,4,134,180,3,3,13,4,7,33,73,34,29,95,5,33
04/05/2020,1,52,693,785,7,0,11,319,590,394,4,142,199,6,3,13,4,9,39,112,40,34,111,5,36
04/06/2020,1,55,793,916,8,0,11,343,648,435,6,150,214,6,3,15,4,10,40,138,41,37,129,5,37
04/07/2020,3,59,871,1020,8,0,17,370,652,459,11,159,236,7,3,15,4,10,41,151,46,44,136,8,41
04/08/2020,4,86,1088,1310,10,0,20,466,866,571,11,186,274,6,5,16,4,10,56,199,62,57,164,9,49
04/09/2020,7,101,1214,1476,13,0,21,505,979,638,12,203,299,8,5,17,4,16,66,233,65,60,180,9,54
04/10/2020,7,110,1388,1716,13,0,28,554,1072,689,12,214,319,10,4,17,4,16,76,289,71,66,220,9,64
04/11/2020,8,120,1537,1923,13,0,33,615,1173,756,15,214,351,11,4,19,4,19,82,341,73,72,235,10,66
04/12/2020,9,129,1631,2035,14,0,42,659,1257,812,17,236,371,13,4,19,4,20,90,368,82,75,253,11,74
04/13/2020,12,142,1756,2205,16,0,58,724,1361,873,21,250,386,15,4,19,6,21,94,417,95,93,274,11,83
04/14/2020,14,147,1883,2356,16,0,63,783,1377,962,21,259,403,17,4,19,5,21,99,441,98,96,292,11,85
04/15/2020,16,155,1947,2527,14,14,76,850,1490,1062,22,264,425,17,4,19,5,22,102,449,99,106,310,11,90
04/16/2020,18,165,2147,2732,14,13,87,902,1522,1164,23,285,452,20,4,19,6,25,103,504,98,109,327,11,101
04/17/2020,20,182,2295,2976,14,11,103,972,1576,1277,28,290,476,26,4,19,9,28,109,532,100,116,337,14,127
04/18/2020,20,200,2420,3170,16,11,138,1012,1671,1381,33,310,510,33,4,24,10,31,109,565,101,116,347,16,131
04/19/2020,21,215,2523,3352,19,10,145,1053,1739,1397,33,314,516,33,4,25,10,33,113,596,105,117,370,18,131
04/20/2020,23,231,2664,3592,22,10,166,1104,1881,1516,39,336,539,32,4,26,11,34,114,621,107,123,393,28,134
04/21/2020,25,238,2785,3741,22,12,176,1164,1932,1547,41,330,566,56,4,27,11,33,116,637,107,126,402,29,134
04/22/2020,28,273,2884,3882,23,8,183,1197,2021,1608,41,344,593,58,4,31,11,34,118,664,112,127,428,36,134
04/23/2020,31,286,3078,4150,25,5,203,1301,2141,1678,50,355,619,77,4,33,12,39,121,696,115,139,443,64,140
04/24/2020,32,295,3246,4414,25,9,222,1380,2243,1734,55,372,643,90,4,43,13,44,125,771,119,143,460,67,144
04/25/2020,38,309,3502,4806,28,9,242,1438,2397,1797,61,384,687,105,4,52,14,46,130,820,124,154,484,67,146
04/26/2020,46,326,3665,4998,34,13,270,1518,2519,1872,63,391,708,113,4,53,16,48,134,840,133,173,505,68,154
04/27/2020,51,359,3863,5274,34,16,336,1552,2559,1939,68,403,779,114,4,54,19,53,138,871,144,181,530,70,163
04/28/2020,52,365,4023,5507,34,13,340,1579,2644,1984,69,416,803,115,4,55,20,54,139,876,145,187,540,73,163
04/29/2020,51,378,4176,5749,34,13,350,1670,2754,2021,69,421,832,116,4,55,21,55,142,899,146,197,552,73,164
04/30/2020,51,421,4326,6054,35,0,406,1733,2844,2076,71,436,867,118,4,52,26,61,150,925,152,206,565,79,167
05/01/2020,54,443,4780,6747,35,9,425,1815,3026,2171,74,460,897,118,4,52,30,66,161,949,159,216,613,86,176
05/02/2020,59,474,4945,7053,39,8,452,1893,3197,2246,79,480,932,121,4,57,32,73,161,983,164,225,624,80,187
05/03/2020,71,485,5177,7345,44,10,473,1967,3315,2328,95,494,970,124,4,60,33,76,163,1011,165,232,640,91,188
05/04/2020,75,497,5411,7611,45,10,480,2026,3463,2420,98,506,993,126,4,63,35,81,172,1045,168,237,654,95,194
05/05/2020,76,503,5569,7846,45,7,500,2054,3445,2618,99,513,1011,129,4,65,37,82,175,1078,170,238,663,95,195
05/06/2020,79,536,5819,8150,45,6,517,2094,3541,2761,101,521,1062,129,4,67,39,87,185,1115,186,251,673,95,200
05/07/2020,85,556,6062,8531,52,8,541,2203,3676,2865,105,534,1099,143,4,68,40,97,189,1158,193,260,701,98,208
05/08/2020,86,576,6347,8917,55,10,553,2300,3778,2950,107,542,1139,143,5,70,41,99,192,1188,207,259,719,98,211
05/09/2020,91,593,6588,9221,58,7,558,2381,3753,3217,110,551,1171,144,6,72,42,103,203,1219,234,265,730,102,219
05/10/2020,95,609,6796,9512,60,8,571,2472,3878,3326,133,560,1206,146,6,80,43,107,207,1257,241,276,749,113,242
05/11/2020,98,609,6944,9704,61,10,690,2501,3964,3362,167,583,1224,146,6,100,50,114,210,1273,244,283,757,116,267
05/12/2020,102,618,7164,9910,61,12,694,2530,4067,3413,174,589,1235,148,6,103,51,115,212,1288,246,284,762,120,270
05/13/2020,102,633,7319,10091,62,11,738,2606,4175,3485,177,595,1260,149,6,104,51,126,215,1308,254,287,779,123,271
05/14/2020,104,667,7588,10468,64,9,754,2670,4306,3514,183,619,1287,150,6,106,51,128,226,1331,271,305,798,125,291
05/15/2020,107,675,7797,10811,65,10,777,2760,4416,3615,190,635,1315,151,6,108,54,132,229,1371,299,320,831,131,300
05/16/2020,111,681,8026,11052,68,7,801,2809,4566,3727,200,633,1354,160,7,112,55,137,238,1409,306,332,846,138,308
05/17/2020,111,690,8244,11337,68,7,818,2864,4642,3806,191,646,1380,161,6,125,57,138,242,1430,313,338,861,137,308
05/18/2020,122,698,8455,11629,68,10,837,2901,4767,3838,200,703,1419,164,7,129,61,165,246,1467,326,343,869,140,318
05/19/2020,122,712,8988,12261,68,11,839,2989,4936,4010,208,712,1468,166,7,133,62,165,256,1498,338,352,896,144,323
05/20/2020,122,724,9093,12467,69,8,848,3041,5041,4159,210,721,1498,166,7,135,64,170,260,1540,340,364,922,145,328
05/21/2020,124,740,9297,12852,70,6,844,3140,5150,4347,216,734,1552,166,7,141,71,182,279,1575,357,377,944,143,331
05/22/2020,126,749,9470,13099,73,5,854,3215,5185,4499,223,757,1590,168,7,141,71,181,292,1632,370,389,958,146,339
05/23/2020,126,767,9735,13346,77,3,859,3290,5305,4682,231,767,1642,168,7,146,71,181,299,1668,379,398,971,148,342
05/24/2020,127,783,9958,14039,79,0,867,3315,5388,4791,240,785,1671,170,7,146,72,184,305,1703,393,408,991,152,345
05/25/2020,128,792,10147,14240,86,0,892,3365,5491,4897,241,804,1720,176,10,151,72,186,308,1738,395,413,999,155,348
05/26/2020,130,798,10327,14333,86,0,908,3402,5513,5006,243,813,1736,176,10,151,73,195,310,1753,400,413,1003,158,353
05/27/2020,133,804,10504,14627,84,0,910,3457,5578,5062,243,821,1764,177,10,151,73,194,316,1793,400,418,1009,160,354
05/28/2020,136,830,10791,15042,87,0,919,3565,5693,5211,245,843,1819,178,10,152,73,199,321,1831,417,423,1028,165,356
05/29/2020,140,857,11075,15324,91,0,931,3652,5835,5434,248,863,1872,177,10,160,73,207,330,1863,460,441,1057,167,364
05/30/2020,141,864,11291,15579,96,0,943,3752,5970,5572,253,881,1909,177,10,159,73,211,335,1897,471,456,1086,170,366
05/31/2020,142,885,11401,15808,99,0,953,3794,6080,5672,259,914,1932,178,10,160,73,215,342,1918,499,469,1109,173,371
06/01/2020,142,884,11516,15968,101,0,955,3851,6315,5612,260,916,1949,180,10,161,73,216,350,1935,505,472,1121,174,369
06/02/2020,144,894,11771,16116,101,0,955,3933,6401,5696,263,929,1980,181,10,161,74,218,353,1968,518,480,1134,174,377
06/03/2020,147,904,11964,16279,103,0,959,4018,6473,5809,265,943,2009,182,10,162,75,220,349,2012,536,486,1153,178,381
06/04/2020,152,923,12266,16477,106,0,959,4089,6492,5914,268,950,2038,182,10,161,76,224,353,2048,542,516,1176,180,388
06/05/2020,153,942,12473,16711,106,0,967,4159,6606,6046,268,963,2079,183,10,163,77,231,354,2076,547,529,1187,184,393
06/06/2020,154,950,12662,16838,108,0,975,4219,6713,6149,270,953,2099,184,10,168,77,233,355,2107,548,545,1198,185,399
06/07/2020,155,960,12773,16958,108,0,977,4245,6770,6237,272,955,2130,184,10,170,77,236,359,2121,553,548,1204,187,404
06/08/2020,156,964,12857,17047,108,0,984,4276,6831,6304,272,957,2161,185,10,177,78,240,363,2142,553,551,1213,187,408
06/09/2020,157,972,13007,17178,108,0,990,4318,6871,6363,273,966,2196,186,10,177,77,242,364,2159,561,545,1218,188,417
06/10/2020,157,985,13163,17305,108,0,992,4357,6935,6436,276,972,2225,185,10,178,77,243,364,2185,565,551,1233,189,423
06/11/2020,159,993,13315,17468,107,0,998,4430,7005,6517,278,979,2316,185,10,178,78,244,367,2209,573,560,1237,188,429
06/12/2020,160,994,13387,17592,107,0,1004,4462,7071,6567,279,980,2337,187,10,179,78,247,371,2232,575,568,1250,190,435
06/13/2020,161,1007,13573,17745,107,0,1010,4531,7128,6641,282,986,2376,187,10,179,79,254,374,2258,578,570,1266,193,440
06/14/2020,162,1012,13646,17851,107,0,1020,4616,7172,6698,283,992,2340,187,10,180,79,257,376,2280,580,571,1271,194,444
06/15/2020,165,1022,13696,17920,107,0,1027,4632,7220,6755,283,995,2355,187,10,183,80,259,377,2305,582,579,1274,194,446
06/16/2020,166,1026,13749,17992,109,0,1031,4760,7269,6790,284,990,2332,188,10,183,82,259,381,2315,585,579,1279,194,451
06/17/2020,170,1035,13859,18106,110,0,1035,4805,7350,6874,284,1008,2348,188,10,187,82,266,383,2343,587,593,1293,193,456
06/18/2020,170,1039,13902,18174,110,0,1036,4844,7393,6914,285,1012,2353,187,10,187,83,268,386,2349,595,595,1296,194,457
06/19/2020,174,1044,13968,18208,113,0,1036,4871,7425,6947,288,1030,2387,187,10,203,83,268,390,2368,599,601,1296,194,460
06/20/2020,180,1055,14044,18310,113,0,1039,4889,7502,7002,290,1030,2414,188,10,204,83,271,394,2387,597,602,1306,194,461
06/21/2020,183,1059,14119,18367,115,0,1043,4913,7560,7062,294,1032,2428,188,10,205,83,272,395,2400,602,603,1315,194,461
06/22/2020,183,1063,14181,18430,117,0,1046,4925,7608,7104,294,1033,2441,189,10,211,83,275,398,2414,599,611,1330,195,462
06/23/2020,183,1067,14244,18571,116,0,1051,4955,7658,7157,296,1063,2428,192,10,211,84,278,399,2426,605,616,1335,195,462
06/24/2020,183,1075,14323,18644,116,0,1053,4965,7675,7219,297,1084,2441,194,10,213,84,279,403,2432,606,634,1343,196,465
06/25/2020,184,1081,14421,18767,119,0,1055,4993,7732,7267,302,1103,2458,203,10,215,85,279,404,2448,610,653,1352,195,461
06/26/2020,182,1081,14510,18795,121,0,1059,5013,7790,7308,309,1106,2475,204,10,220,86,283,405,2455,611,663,1359,196,463
06/27/2020,183,1093,14559,18823,130,0,1058,5050,7822,7372,315,1106,2495,204,10,224,86,283,409,2472,619,684,1364,197,474
06/28/2020,185,1099,14646,18896,130,0,1060,5063,7869,7425,315,1107,2506,204,11,226,86,283,411,2478,620,694,1373,199,474
06/29/2020,188,1111,14714,18987,136,0,1062,5100,7951,7507,318,1116,2532,204,11,227,87,287,414,2493,633,695,1385,200,479
06/30/2020,188,1119,14776,19063,137,0,1067,5117,8007,7556,319,1119,2543,205,11,230,87,287,415,2497,637,698,1395,199,480
07/01/2020,188,1130,14842,19126,137,0,1070,5142,8062,7615,320,1138,2573,205,11,231,87,290,416,2500,639,697,1401,201,481
07/02/2020,189,1156,14938,19221,141,0,1074,5187,8126,7711,321,1151,2607,205,11,233,87,290,419,2508,646,687,1418,202,487
07/03/2020,188,1176,15059,19221,144,0,1085,5208,8204,7799,321,1157,2623,206,11,235,87,292,420,2527,651,691,1428,201,488
07/04/2020,192,1179,15120,19221,147,0,1087,5247,8255,7867,322,1158,2643,208,13,241,87,293,420,2553,652,695,1432,201,491
07/05/2020,201,1183,15167,19221,150,0,1088,5269,8306,7907,322,1160,2657,210,14,248,88,297,422,2559,654,696,1439,204,495
07/06/2020,201,1192,15201,19531,152,0,1091,5298,8356,7970,322,1166,2672,210,15,249,88,298,423,2561,659,696,1443,204,499
07/07/2020,199,1201,15370,19669,155,0,1095,5313,8402,8011,323,1184,2691,210,15,257,91,302,423,2558,662,691,1453,205,506
07/08/2020,199,1212,15438,19776,161,0,1102,5349,8464,8082,325,1190,2729,212,16,261,93,307,426,2560,666,694,1475,205,513
07/09/2020,199,1228,15541,19942,165,0,1109,5399,8518,8167,329,1192,2757,212,17,269,94,310,436,2574,673,702,1485,204,515
07/10/2020,203,1249,15606,19997,170,0,1119,5431,8603,8262,332,1202,2776,213,19,274,98,315,439,2584,679,710,1498,205,519
