date,Madison,Ravalli,Richland,Roosevelt,Stillwater,Yellowstone,Big Horn,Carbon,Custer,Dawson,Glacier,Golden Valley,Lewis and Clark,Liberty,Missoula,Pondera,Rosebud,Sheridan,Teton,Wheatland,Cascade,Deer Lodge,Hill,Jefferson,Lincoln,Silver Bow,Treasure,Unknown,Valley,Broadwater,Fergus,Flathead,Gallatin,Granite,Lake,Meagher,Musselshell,Park,Toole,Beaverhead
02/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/19/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/13/2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03/14/2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03/15/2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03/16/2020,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03/17/2020,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03/18/2020,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
03/19/2020,1,0,0,1,0,5,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0
03/20/2020,1,0,0,1,0,5,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0
03/21/2020,1,1,0,1,0,5,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,2,7,0,0,0,0,0,0,0
03/22/2020,1,1,0,1,0,6,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,2,10,0,0,0,0,0,0,0
03/23/2020,1,1,0,1,0,7,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,4,16,0,0,0,0,0,0,0
03/24/2020,1,1,0,1,0,8,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,0,1,0,3,0,0,0,1,0,4,19,0,0,0,0,0,0,0
03/25/2020,2,1,0,1,0,12,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,1,1,0,4,0,0,0,2,0,5,24,0,0,0,0,0,0,0
03/26/2020,2,1,0,1,0,14,0,0,0,0,0,0,5,0,7,0,0,0,0,0,5,0,1,1,1,5,0,0,0,2,0,5,38,0,0,1,0,0,1,0
03/27/2020,3,1,0,1,0,23,0,0,0,0,0,0,7,0,8,0,0,0,0,0,7,0,1,2,3,7,0,0,0,2,0,6,42,0,1,1,0,1,5,0
03/28/2020,3,1,0,1,0,26,0,0,0,0,0,0,10,0,9,0,0,0,0,0,7,0,1,2,3,8,0,0,0,3,0,6,57,0,2,1,0,2,5,0
03/29/2020,4,1,0,1,0,26,0,0,0,0,0,0,10,0,11,0,0,0,0,0,7,1,1,2,4,9,0,0,0,3,0,8,62,0,3,1,0,2,5,0
03/30/2020,4,1,0,1,0,28,0,0,0,0,0,0,11,0,12,0,0,0,0,0,7,3,1,2,4,9,0,0,0,3,0,9,69,0,3,1,0,3,6,0
03/31/2020,6,1,0,1,0,31,0,0,0,0,0,0,12,1,14,0,0,0,0,0,9,3,1,2,5,10,0,0,0,3,0,11,74,0,3,1,1,3,6,0
04/01/2020,6,1,0,1,0,32,0,1,0,0,0,0,14,1,15,0,0,0,0,0,9,3,1,2,6,11,0,0,0,3,0,17,79,0,4,1,1,5,6,0
04/02/2020,6,1,0,1,0,35,0,1,0,0,0,0,13,1,17,0,0,0,0,0,11,3,1,2,6,11,0,0,0,3,0,18,93,0,4,1,1,6,6,0
04/03/2020,6,1,0,1,0,38,0,1,0,0,1,0,13,1,17,0,0,0,0,0,11,3,1,2,6,11,0,0,0,4,0,20,101,0,4,1,1,6,12,0
04/04/2020,6,2,0,1,0,38,0,1,0,0,1,0,14,1,19,0,0,0,0,0,11,3,1,2,6,11,0,0,0,4,0,23,109,0,4,1,1,6,15,1
04/05/2020,9,2,0,1,0,40,0,1,0,0,1,0,14,1,21,0,0,0,0,0,11,3,1,2,7,11,0,0,0,4,0,25,115,0,4,1,1,6,16,1
04/06/2020,9,2,0,1,0,47,0,2,0,0,1,0,15,1,24,0,0,0,0,0,11,3,1,2,7,11,0,0,0,4,0,31,118,0,5,1,1,6,15,1
04/07/2020,9,2,0,1,0,47,0,2,0,0,1,0,15,1,24,0,0,0,0,0,11,3,1,2,7,11,0,0,0,4,0,31,118,0,5,1,1,6,15,1
04/08/2020,9,3,2,2,0,48,0,3,0,0,2,0,16,1,25,0,0,0,0,0,11,3,1,2,7,11,0,0,0,4,0,31,119,0,5,1,1,7,17,1
04/09/2020,8,3,2,2,1,52,0,3,0,0,3,0,16,1,26,0,0,0,0,0,12,4,1,2,7,11,0,0,0,4,0,34,128,0,6,1,1,7,18,1
04/10/2020,8,3,2,2,1,55,1,6,0,0,3,0,16,1,26,0,0,0,0,0,12,3,1,2,7,11,0,0,0,4,0,34,134,0,5,1,1,7,18,1
04/11/2020,8,3,3,3,1,57,1,6,0,0,3,1,16,1,29,0,0,0,0,0,13,3,1,2,7,11,0,0,0,4,0,34,135,0,5,1,1,7,20,1
04/12/2020,8,3,3,3,1,58,1,6,0,0,3,1,16,1,30,0,0,0,0,0,13,3,1,2,7,11,0,0,0,4,0,34,138,0,5,1,1,7,25,1
04/13/2020,8,5,3,3,1,59,1,6,0,0,4,1,16,1,30,0,0,0,0,0,13,3,1,2,7,11,0,0,0,4,0,36,138,0,5,1,1,7,26,1
04/14/2020,8,5,3,3,1,63,2,6,0,0,4,1,16,1,30,0,0,0,0,0,13,3,1,2,7,11,0,0,0,4,0,36,138,0,5,1,1,7,26,1
04/15/2020,8,5,3,4,1,64,2,6,0,0,4,1,16,1,30,1,0,0,0,0,13,3,1,2,7,11,0,0,0,4,0,37,139,0,5,1,1,7,26,1
04/16/2020,8,5,3,4,1,67,3,6,0,0,4,1,16,1,33,1,0,0,0,0,13,3,1,2,7,11,0,0,0,4,0,37,141,0,5,1,3,7,26,1
04/17/2020,8,5,3,6,1,67,3,6,0,0,4,3,16,1,34,1,0,0,0,0,13,3,1,2,7,11,0,0,0,4,0,37,142,0,5,1,1,7,29,1
04/18/2020,8,5,3,6,1,70,3,6,0,0,4,3,16,1,35,1,0,0,0,0,13,3,1,2,7,11,0,0,0,4,0,37,142,0,5,1,1,7,29,1
04/19/2020,8,5,3,6,1,72,3,6,0,0,4,3,16,1,38,2,0,0,0,0,13,3,1,2,7,11,0,0,0,4,0,37,143,0,5,1,1,7,29,1
04/20/2020,8,5,3,6,1,72,3,6,0,0,4,3,16,1,38,2,0,0,0,0,13,3,1,2,7,11,0,0,0,4,0,37,143,0,5,1,1,7,29,1
04/21/2020,8,5,3,7,1,73,3,6,0,0,4,3,16,1,38,2,0,0,0,0,13,3,1,2,7,11,0,0,0,4,0,37,145,0,5,1,1,7,29,1
04/22/2020,8,5,3,7,1,74,3,6,0,0,4,3,16,1,39,2,0,0,0,0,13,3,1,2,7,11,0,0,0,4,0,37,145,0,5,1,1,7,29,1
04/23/2020,8,5,3,7,1,76,3,6,0,0,4,3,16,1,39,2,0,0,0,0,13,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,7,29,1
04/24/2020,8,5,3,7,1,77,3,6,0,0,4,3,16,1,39,2,0,0,0,1,13,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,7,29,1
04/25/2020,8,5,3,7,1,77,3,6,0,0,4,3,16,1,39,2,0,0,0,1,14,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,7,29,1
04/26/2020,8,5,3,7,1,78,3,6,0,0,6,3,16,1,39,2,0,0,0,1,14,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,7,29,1
04/27/2020,8,5,3,7,1,79,3,6,0,0,6,3,16,1,39,2,0,0,0,1,14,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,7,29,1
04/28/2020,8,5,3,7,1,80,3,6,0,0,6,3,16,1,39,2,0,0,0,1,15,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,7,29,1
04/29/2020,8,5,3,7,1,80,3,6,0,0,6,3,16,1,39,2,0,0,0,1,15,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,7,29,1
04/30/2020,8,5,3,7,1,80,3,6,0,0,6,3,16,1,39,2,0,0,0,1,15,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,8,29,1
05/01/2020,8,5,3,7,1,80,3,6,0,0,6,3,16,1,39,2,0,0,0,1,15,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,8,29,1
05/02/2020,8,5,3,7,1,82,3,6,0,0,6,3,16,1,39,2,0,0,0,1,15,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,8,29,1
05/03/2020,8,5,3,7,1,82,3,6,0,0,6,3,16,1,39,2,0,0,0,1,15,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,8,29,1
05/04/2020,8,5,3,7,1,83,3,6,0,0,6,3,16,1,39,2,0,0,0,1,16,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,8,29,1
05/05/2020,8,5,3,7,1,83,3,6,0,0,6,3,16,1,39,2,0,0,0,1,16,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,8,29,1
05/06/2020,8,5,3,7,1,83,3,6,0,0,6,3,16,1,39,2,0,0,0,1,16,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,8,29,1
05/07/2020,8,5,3,7,1,83,3,6,0,0,6,3,16,1,39,2,0,0,0,1,16,3,1,2,7,11,0,0,0,4,0,37,146,0,5,1,1,8,29,1
05/08/2020,8,5,3,7,1,83,3,6,0,0,6,3,16,1,39,2,0,0,0,1,16,3,1,2,7,11,0,0,0,4,0,37,148,0,5,1,1,8,29,1
05/09/2020,8,5,3,7,1,82,3,6,0,0,6,3,16,1,39,2,0,0,0,1,16,3,1,2,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/10/2020,8,5,3,7,1,82,3,6,0,0,6,3,16,1,39,2,0,0,0,1,16,3,1,2,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/11/2020,8,5,3,7,1,82,3,6,0,0,6,3,16,1,39,2,0,0,0,1,16,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/12/2020,8,5,3,7,1,82,4,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/13/2020,8,5,3,7,1,83,4,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/14/2020,8,5,3,7,1,83,4,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/15/2020,8,5,3,7,1,83,8,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/16/2020,8,5,3,7,1,85,8,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/17/2020,8,5,3,7,1,85,8,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/18/2020,8,6,3,7,1,86,8,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/19/2020,8,6,3,7,1,87,8,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/20/2020,8,13,3,7,1,87,8,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/21/2020,8,13,3,7,1,88,8,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/22/2020,8,13,3,7,1,88,8,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/23/2020,8,13,3,7,1,88,8,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/24/2020,8,13,3,7,1,88,8,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/25/2020,8,13,3,7,1,88,8,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/26/2020,8,13,3,7,1,88,8,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/27/2020,8,13,3,7,1,89,9,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/28/2020,8,13,3,7,1,90,12,6,0,0,6,3,16,1,39,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,149,0,5,1,1,8,29,1
05/29/2020,8,13,3,7,1,90,18,6,0,0,6,3,16,1,40,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,150,0,5,1,1,8,29,1
05/30/2020,8,13,3,7,1,91,28,6,0,0,6,3,16,1,40,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,151,0,5,1,1,8,29,1
05/31/2020,8,14,3,7,1,99,29,6,0,0,6,3,16,1,40,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,151,0,5,1,1,8,29,1
06/01/2020,8,14,3,7,1,100,30,6,0,0,6,3,16,1,40,2,0,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,153,0,5,1,1,8,29,1
06/02/2020,8,14,3,7,1,100,31,6,0,0,6,3,16,1,40,2,1,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,155,0,5,1,1,8,29,1
06/03/2020,8,14,3,7,1,102,31,6,0,0,6,3,16,1,40,2,1,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,155,0,5,1,1,8,29,1
06/04/2020,8,14,3,7,1,103,36,6,0,0,6,3,16,1,40,2,1,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,161,0,5,1,1,8,29,1
06/05/2020,8,14,3,7,1,103,36,6,0,0,6,3,18,1,40,2,1,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,161,0,5,1,1,8,29,1
06/06/2020,8,14,3,7,1,104,36,6,0,0,6,3,18,1,40,2,1,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,161,0,5,1,1,8,29,1
06/07/2020,8,14,3,7,1,105,39,6,0,0,6,3,18,1,40,2,1,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,162,0,5,1,1,8,29,1
06/08/2020,8,14,3,7,2,105,39,6,0,0,6,3,18,1,40,2,1,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,164,0,5,1,1,8,29,1
06/09/2020,8,14,3,7,2,105,41,6,0,0,6,3,18,1,40,2,1,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,168,0,5,1,1,8,29,1
06/10/2020,8,14,3,7,2,105,43,6,0,0,6,3,18,1,39,2,1,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,174,0,5,1,1,8,29,1
06/11/2020,8,14,3,7,2,106,42,6,0,0,6,3,18,1,39,2,1,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,176,0,5,1,1,8,29,1
06/12/2020,8,14,3,7,2,106,43,6,1,0,6,3,19,1,39,2,1,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,182,0,6,1,1,8,29,1
06/13/2020,8,15,3,7,2,108,44,6,3,0,6,3,19,1,40,2,1,0,0,1,17,3,1,3,7,11,0,0,0,4,0,37,187,0,9,1,1,8,29,1
06/14/2020,8,17,3,7,2,108,46,6,8,0,6,3,20,1,40,2,1,0,0,1,18,3,1,3,7,11,0,0,0,4,0,38,188,0,9,1,1,8,29,1
06/15/2020,8,18,3,7,3,108,47,6,11,0,6,3,20,1,40,2,1,0,0,1,19,3,1,3,7,11,0,0,0,4,0,39,188,0,9,1,1,8,29,1
06/16/2020,8,18,3,7,3,109,47,6,13,0,6,3,20,1,42,2,1,0,0,1,19,3,1,3,7,11,0,0,0,4,0,39,188,0,9,1,1,8,29,1
06/17/2020,8,17,3,7,3,109,49,7,19,0,6,3,20,1,44,2,1,0,0,1,20,3,1,3,7,11,0,0,0,4,0,41,191,0,9,1,1,8,29,1
06/18/2020,8,17,5,7,3,112,53,9,19,0,6,3,20,1,46,2,1,0,0,1,20,3,1,3,7,11,0,0,1,4,2,45,195,0,10,1,1,8,29,1
06/19/2020,8,17,5,7,3,115,53,10,20,0,6,3,22,1,46,2,3,0,0,1,20,3,1,3,7,11,0,0,1,4,2,45,197,0,10,1,1,8,29,1
06/20/2020,8,18,6,7,3,120,55,13,21,1,7,3,22,1,48,2,7,0,0,1,21,3,1,3,7,11,0,0,1,4,2,45,204,0,10,1,1,9,31,1
06/21/2020,8,17,8,7,3,123,59,13,22,1,7,3,22,1,49,2,7,0,0,1,22,3,1,3,7,11,0,0,1,5,2,46,209,0,11,1,1,9,31,1
06/22/2020,8,17,8,7,4,125,63,15,22,1,7,3,23,1,49,2,7,0,0,1,22,3,1,3,7,11,0,0,1,5,2,48,213,0,12,1,1,9,31,1
06/23/2020,8,17,8,7,4,126,66,15,22,2,7,3,24,1,49,2,7,0,0,1,25,3,1,3,7,11,0,0,1,5,2,48,213,0,12,1,1,9,31,1
