date,Campbell,Clay,Custer,Faulk,Hyde,Jerauld,Kingsbury,McPherson,Moody,Spink,Stanley,Tripp,Turner,Union,Brown,Brule,Buffalo,Clark,Corson,Davison,Day,Dewey,Edmunds,Grant,Gregory,Hamlin,Lincoln,Pennington,Sanborn,Unknown,Ziebach,Beadle,Bennett,Bon Homme,Charles Mix,Deuel,Douglas,Haakon,Hand,Hughes,Hutchinson,Jones,Lake,Lawrence,McCook,Miner,Minnehaha,Oglala Lakota,Roberts,Todd,Aurora,Brookings,Codington,Fall River,Hanson,Jackson,Lyman,Marshall,Meade,Mellette,Sully,Walworth,Yankton,Butte
01/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/19/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/19/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,12,0,1,1,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
03/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,13,0,1,1,0,0,0,0,1,0,0,0,0,2,0,5,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
03/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,13,0,1,1,0,0,0,0,1,0,0,0,0,2,0,13,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
03/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,14,0,1,1,0,0,0,0,1,0,0,0,0,2,0,16,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
03/27/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,16,0,1,1,0,0,0,0,1,0,0,0,2,2,0,18,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
03/28/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1,3,3,0,0,0,16,0,1,1,1,0,0,0,1,2,0,0,2,2,0,21,0,0,1,1,1,2,0,0,0,1,0,1,0,0,0,1,0
03/29/2020,0,2,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,2,0,0,0,0,0,1,4,4,0,0,0,20,0,1,1,1,0,0,0,1,2,0,0,3,2,0,25,0,1,1,1,1,4,1,0,0,1,0,1,0,0,0,4,0
03/30/2020,0,3,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,2,0,0,0,0,0,1,4,5,0,0,0,20,0,1,1,1,0,0,0,1,2,0,0,5,2,0,28,0,1,1,1,1,5,1,0,0,1,1,1,0,0,0,4,0
03/31/2020,0,3,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,2,0,0,0,0,0,1,5,5,0,0,0,20,0,1,1,1,0,0,0,1,2,0,0,6,2,0,31,0,1,1,1,1,5,1,0,0,1,1,1,0,0,0,6,0
04/01/2020,0,3,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,1,0,2,0,0,0,0,0,1,11,5,0,0,0,21,0,1,1,1,0,0,0,2,2,0,0,6,2,0,40,0,2,1,1,2,5,1,0,0,1,1,1,0,0,0,8,0
04/02/2020,0,3,0,1,0,0,0,0,0,1,0,0,2,3,6,0,0,1,0,3,0,0,0,0,0,1,17,6,0,0,0,21,0,1,1,1,0,0,0,3,2,0,1,9,2,0,54,0,2,1,1,2,6,1,0,0,1,1,1,0,0,0,10,0
04/03/2020,0,3,0,1,0,0,0,0,0,1,0,0,3,3,7,0,0,1,0,3,0,0,0,0,0,1,19,6,0,0,0,21,0,1,1,1,0,0,0,3,2,0,1,9,2,0,68,0,3,1,1,2,8,1,0,0,1,1,1,0,0,0,11,0
04/04/2020,0,3,0,1,0,0,0,0,0,2,0,0,3,3,9,0,0,1,0,3,0,0,0,0,0,1,21,6,0,0,0,21,0,1,2,1,0,0,0,3,2,0,1,9,2,0,81,0,4,1,1,3,9,1,0,0,1,1,1,0,0,0,14,0
04/05/2020,0,3,0,1,0,0,0,0,0,3,0,0,4,3,9,0,0,1,0,3,0,0,0,0,0,1,23,6,0,0,0,21,0,1,2,1,0,0,0,3,2,0,1,9,2,0,104,0,4,1,1,3,10,1,0,0,1,1,1,0,0,0,14,0
04/06/2020,0,3,0,1,0,0,0,0,0,3,0,0,4,3,13,0,0,1,0,3,0,0,0,0,0,1,24,6,0,0,0,21,0,2,2,1,0,0,0,3,2,0,1,9,2,0,140,0,4,1,1,4,11,1,0,0,1,1,1,0,0,0,18,0
04/07/2020,0,6,0,1,0,0,0,0,0,3,0,0,4,3,13,0,0,1,0,3,0,0,0,0,0,1,27,6,0,0,0,21,0,2,2,1,0,0,0,3,2,0,1,9,2,0,165,0,4,1,1,6,12,1,0,0,2,1,1,0,0,0,15,0
04/08/2020,0,6,0,1,0,0,0,0,0,3,0,0,5,3,13,0,0,1,0,3,0,0,0,0,0,1,31,6,0,0,0,21,0,3,2,1,0,0,0,3,2,0,2,9,2,0,228,1,4,1,1,6,12,1,0,0,2,1,1,0,0,0,17,0
04/09/2020,0,6,0,1,0,1,0,0,0,3,0,0,5,3,14,0,0,1,1,3,0,0,0,0,0,1,33,7,0,0,0,21,0,3,2,1,0,0,0,4,2,0,2,9,2,0,274,1,4,1,1,6,12,1,0,0,2,1,1,0,0,0,18,0
04/10/2020,0,6,0,1,0,1,0,0,0,3,0,0,5,3,14,0,0,1,1,3,0,0,0,0,0,1,38,8,0,0,0,22,0,3,3,1,0,0,0,4,2,0,2,9,2,1,352,1,4,1,1,7,12,1,0,0,2,1,1,0,0,0,19,0
04/11/2020,0,6,0,1,0,3,0,0,0,3,0,0,5,4,14,0,0,1,1,3,0,0,0,0,0,1,39,8,1,0,0,21,0,3,3,1,0,0,0,4,2,0,2,9,2,1,438,1,4,1,1,6,12,1,0,0,2,1,1,0,0,0,20,0
04/12/2020,0,6,0,1,0,3,0,0,0,3,0,0,5,4,14,0,0,1,1,3,0,0,0,0,0,1,46,8,1,0,0,21,0,4,4,1,0,0,0,5,2,0,2,9,2,1,527,1,4,1,1,8,12,1,0,0,2,1,1,0,1,1,20,0
04/13/2020,0,5,0,1,1,3,0,0,0,3,0,0,5,5,14,0,0,1,1,3,0,0,0,0,0,1,50,9,2,0,0,21,0,4,4,1,0,0,0,5,2,0,2,9,2,1,654,1,4,1,1,9,12,1,0,0,2,1,1,0,1,2,22,0
04/14/2020,0,5,0,1,1,3,0,0,0,3,0,0,5,5,14,0,0,1,1,3,0,0,0,0,0,1,55,9,2,0,0,21,0,4,4,1,0,0,0,5,2,0,2,9,2,1,768,1,4,1,1,9,13,1,0,0,2,1,1,0,1,2,22,0
04/15/2020,0,5,0,1,1,3,0,0,0,3,0,0,5,4,15,0,0,1,1,3,0,0,0,0,0,1,65,9,3,0,0,21,0,4,4,1,0,0,0,5,2,0,2,9,3,1,934,1,4,1,1,9,13,1,0,0,2,1,1,0,1,5,22,0
04/16/2020,0,5,0,1,1,4,0,0,1,3,0,0,5,4,15,0,0,1,1,3,0,0,0,0,0,2,71,10,3,0,0,21,0,4,4,1,0,0,0,5,2,0,3,9,3,1,1065,1,4,1,1,9,13,1,0,0,2,1,1,0,1,5,23,0
04/17/2020,0,5,0,1,1,4,0,0,1,3,0,0,5,4,17,0,0,1,1,3,0,0,0,0,0,2,77,10,3,0,0,21,0,4,4,1,0,0,0,5,2,0,3,9,3,1,1157,1,4,1,1,9,13,1,0,0,2,1,1,0,1,5,23,0
04/18/2020,0,5,0,1,1,4,0,0,1,3,0,0,5,5,18,0,0,1,1,3,0,0,0,0,0,2,86,10,3,0,0,21,0,4,4,1,0,0,0,5,2,0,3,9,3,1,1276,1,4,1,1,9,13,1,0,0,2,1,1,0,1,5,23,0
04/19/2020,0,5,0,1,1,4,0,0,1,3,0,0,6,6,20,0,0,1,1,3,0,0,0,0,0,2,90,10,3,0,0,21,0,4,4,1,0,0,0,5,2,0,3,9,3,1,1362,1,4,1,1,9,13,1,0,0,2,1,1,0,1,5,23,0
04/20/2020,0,5,0,1,1,4,0,0,1,3,0,0,6,7,20,0,0,1,1,3,0,0,0,0,0,2,95,11,3,0,0,21,0,4,4,1,0,0,0,5,2,0,3,9,3,1,1405,1,4,1,1,9,13,1,0,0,2,1,1,0,1,5,23,0
04/21/2020,0,5,0,1,1,4,0,0,2,3,0,0,6,7,20,0,0,1,1,4,0,0,0,0,0,2,99,11,3,0,0,21,0,4,4,1,0,0,0,5,2,0,3,9,3,1,1469,1,4,1,1,9,13,1,0,0,2,1,1,0,1,5,23,0
04/22/2020,0,5,0,1,1,4,0,0,2,3,0,0,9,7,27,0,0,1,1,5,0,0,0,0,0,2,104,11,3,0,0,21,0,4,4,1,0,0,0,6,2,0,3,9,3,1,1555,1,4,1,1,9,13,1,0,0,2,1,1,0,1,5,23,0
04/23/2020,0,5,0,1,1,5,0,0,2,3,0,0,13,8,28,0,0,1,1,5,0,0,0,0,0,2,110,11,3,0,0,21,0,4,4,1,0,0,0,7,2,0,3,9,4,1,1636,1,4,1,1,9,13,1,0,0,2,1,1,0,1,5,25,0
04/24/2020,0,5,0,1,1,6,0,0,2,3,1,0,13,11,28,0,0,1,1,5,0,0,0,0,0,2,116,11,3,0,0,21,0,4,4,1,0,0,0,7,2,0,4,9,4,1,1707,1,4,1,1,9,14,1,0,0,2,1,1,0,1,5,25,0
04/25/2020,0,5,0,1,1,6,0,1,2,3,1,0,15,12,30,0,0,1,1,5,0,0,0,0,0,2,125,11,3,0,0,21,0,4,4,1,0,0,0,7,2,0,4,9,4,1,1796,1,4,1,1,11,14,1,0,0,2,1,1,0,1,5,26,0
04/26/2020,0,5,0,1,1,6,0,1,3,3,1,0,15,12,30,0,0,1,1,6,0,0,0,0,0,2,128,12,3,0,0,21,0,4,4,1,0,0,1,7,3,0,4,9,4,1,1854,1,4,1,1,11,14,1,0,0,2,1,1,0,1,5,26,0
04/27/2020,0,5,0,1,1,6,0,1,3,3,2,0,15,12,30,0,0,1,1,6,0,0,0,0,0,2,131,12,3,0,0,21,0,4,4,1,1,0,1,7,3,0,4,9,4,1,1880,1,4,1,1,12,14,1,0,0,2,1,1,0,1,5,27,0
