date,Unknown,Hancock,Kennebec,Oxford,Sagadahoc,York,Cumberland,Piscataquis,Somerset,Washington,Androscoggin,Aroostook,Franklin,Lincoln,Penobscot,Waldo,Knox
02/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
03/13/2020,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
03/14/2020,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
03/15/2020,0,0,0,0,0,0,10,0,0,0,1,0,0,1,0,0,0
03/16/2020,1,0,0,0,0,0,13,0,0,0,1,0,0,2,0,0,0
03/17/2020,3,0,1,1,0,1,20,0,0,0,3,0,0,3,0,0,0
03/18/2020,3,0,1,1,0,1,29,0,0,0,3,0,0,4,1,0,0
03/19/2020,3,0,3,1,0,3,34,0,0,0,3,0,0,4,1,0,0
03/20/2020,3,0,4,1,0,5,35,0,0,0,3,0,0,4,2,0,0
03/21/2020,3,0,4,4,1,8,41,0,0,0,3,0,0,4,2,0,0
03/22/2020,5,0,4,4,3,8,56,0,0,0,3,0,0,4,2,0,0
03/23/2020,5,0,4,5,3,12,66,0,0,0,3,0,0,5,3,0,1
03/24/2020,5,0,5,6,3,16,74,0,0,0,3,0,0,5,4,1,1
03/25/2020,2,0,5,6,4,23,87,0,0,0,4,0,0,5,4,1,1
03/26/2020,1,0,6,8,4,27,90,0,0,0,5,0,1,5,5,2,1
03/27/2020,3,0,6,8,4,33,92,0,0,0,6,0,1,5,6,2,2
03/28/2020,3,0,9,8,5,38,120,0,0,0,7,0,2,5,10,2,2
03/29/2020,5,0,10,9,7,47,142,0,1,0,8,0,2,5,11,2,4
03/30/2020,5,0,10,9,7,53,154,0,1,0,8,0,2,8,12,2,4
03/31/2020,6,0,12,9,7,59,169,0,1,0,11,0,2,8,12,2,5
04/01/2020,7,1,17,9,10,65,192,0,1,0,12,0,2,8,13,2,5
04/02/2020,8,2,19,9,10,74,204,0,2,0,12,0,3,8,16,2,7
04/03/2020,11,2,19,10,12,89,222,0,2,1,19,1,4,8,20,3,9
04/04/2020,12,2,21,11,13,95,231,0,3,1,20,1,4,8,22,3,9
04/05/2020,11,2,22,11,13,101,238,0,4,1,20,1,4,8,22,3,9
04/06/2020,11,2,23,11,13,108,249,0,4,1,23,1,5,9,25,5,9
04/07/2020,9,2,26,12,13,115,253,0,4,1,23,2,5,9,31,5,9
04/08/2020,8,3,26,12,13,121,262,0,5,1,23,2,5,9,31,7,9
04/09/2020,4,3,26,12,14,132,269,0,5,1,24,2,7,9,31,11,10
04/10/2020,3,4,29,12,15,137,276,0,5,1,24,2,7,9,33,19,10
04/11/2020,3,4,31,13,15,143,284,0,6,1,27,2,7,9,34,27,10
04/12/2020,3,5,32,13,15,144,292,0,8,1,28,2,8,9,34,29,10
04/13/2020,5,5,78,13,15,151,299,0,8,1,28,2,8,10,34,29,12
04/14/2020,2,5,81,13,14,152,331,0,11,1,29,2,8,11,34,29,11
04/15/2020,2,5,93,13,15,156,339,0,13,2,31,2,9,12,36,30,12
04/16/2020,2,5,94,13,15,164,343,0,14,2,32,3,9,12,37,39,12
04/17/2020,2,6,95,13,15,170,360,0,15,2,32,3,10,12,40,42,12
04/18/2020,1,6,96,13,15,175,369,0,15,2,35,2,11,12,41,42,12
04/19/2020,2,6,97,14,16,177,378,1,16,2,35,2,12,12,43,42,12
04/20/2020,1,6,97,14,16,181,380,1,16,2,35,2,13,12,44,43,12
04/21/2020,1,6,97,14,17,183,386,1,16,2,36,2,13,12,46,43,13
04/22/2020,2,7,99,14,17,185,395,1,16,2,36,2,14,12,47,45,13
04/23/2020,0,8,100,14,17,190,414,1,16,2,37,3,14,12,49,47,13
04/24/2020,0,8,100,14,17,191,426,1,16,2,38,4,26,12,50,47,13
04/25/2020,2,9,101,15,18,194,434,1,17,2,41,4,27,12,52,48,13
04/26/2020,2,9,101,15,18,196,454,1,17,2,42,4,27,12,53,48,14
04/27/2020,2,9,102,15,18,196,459,1,17,2,42,4,27,12,55,48,14
04/28/2020,1,10,103,15,18,200,466,1,18,2,42,5,27,12,57,48,15
04/29/2020,2,10,104,15,19,203,472,1,18,2,43,5,27,12,59,48,16
04/30/2020,1,10,104,15,19,205,486,1,17,2,48,5,27,13,78,48,16
05/01/2020,0,10,104,15,19,208,504,1,17,2,52,5,28,14,79,49,16
05/02/2020,0,10,104,15,19,210,527,1,17,2,54,5,28,13,82,49,16
05/03/2020,0,10,105,15,19,215,549,1,17,2,56,5,29,13,84,49,16
05/04/2020,2,10,105,15,19,219,558,1,17,2,60,5,29,13,85,49,16
05/05/2020,0,10,105,15,19,226,571,1,17,2,62,6,29,13,85,49,16
05/06/2020,0,10,106,16,20,230,583,1,17,2,67,6,29,14,87,49,17
05/07/2020,2,10,107,17,20,243,631,1,17,2,74,6,31,14,89,49,17
05/08/2020,6,10,108,17,20,249,658,1,17,2,78,6,31,15,89,49,18
05/09/2020,1,10,109,17,20,256,685,1,17,2,82,6,31,15,89,49,18
05/10/2020,3,10,109,17,21,261,702,1,17,2,84,6,31,15,90,49,18
05/11/2020,6,10,110,17,21,262,714,1,17,2,92,6,31,15,90,49,19
05/12/2020,6,10,111,17,21,264,721,1,17,2,97,6,31,15,90,49,19
05/13/2020,6,10,112,17,23,269,744,1,18,2,103,6,31,15,90,49,19
05/14/2020,2,10,113,17,25,277,778,1,18,2,109,7,31,15,91,50,19
05/15/2020,2,10,116,17,26,281,798,1,19,2,113,7,33,16,91,50,21
05/16/2020,2,10,120,17,26,288,821,1,20,2,120,7,33,17,93,50,21
05/17/2020,5,11,121,17,27,295,837,1,20,2,131,7,33,17,93,50,20
05/18/2020,1,11,121,17,27,302,852,1,20,2,139,7,33,17,93,50,20
05/19/2020,1,11,120,17,27,307,863,1,20,2,151,7,33,17,94,50,20
05/20/2020,2,11,121,18,28,316,891,1,20,2,185,8,34,17,95,50,20
05/21/2020,3,11,123,18,28,320,919,1,20,2,202,8,35,18,98,51,20
05/22/2020,3,11,124,19,28,331,968,1,21,2,209,8,36,18,98,51,20
05/23/2020,0,11,126,19,28,337,1009,1,21,2,227,8,36,19,98,51,20
05/24/2020,1,11,128,21,28,344,1032,1,21,2,233,8,36,20,98,51,20
05/25/2020,0,11,128,21,28,350,1040,1,21,2,238,8,36,20,99,51,20
05/26/2020,0,11,128,22,28,359,1056,1,21,2,247,8,36,20,99,51,20
05/27/2020,3,11,128,26,29,365,1065,1,21,2,252,8,36,20,99,51,20
05/28/2020,5,11,128,29,30,370,1092,1,22,2,264,8,36,20,100,51,20
05/29/2020,4,11,128,32,30,373,1117,1,22,2,269,10,36,20,100,51,20
05/30/2020,4,11,128,33,30,381,1146,1,22,2,287,10,36,20,100,51,20
05/31/2020,2,11,128,34,30,385,1175,1,22,2,298,10,36,20,100,51,20
06/01/2020,1,11,128,33,30,391,1189,1,22,2,304,10,36,20,100,51,20
06/02/2020,1,11,127,33,31,396,1203,1,22,1,314,10,36,20,100,51,20
06/03/2020,4,11,127,33,31,398,1226,1,22,1,326,10,36,20,100,51,21
06/04/2020,4,11,128,32,30,401,1244,1,22,1,334,10,36,20,100,51,21
06/05/2020,4,12,129,32,30,408,1265,1,22,1,338,10,36,20,101,52,21
06/06/2020,0,12,130,32,30,420,1290,1,22,1,346,10,36,20,101,52,21
06/07/2020,2,12,130,31,30,427,1307,1,22,1,367,10,36,20,101,52,21
06/08/2020,2,12,131,31,30,428,1311,1,24,1,376,10,36,20,101,53,21
06/09/2020,2,12,131,31,30,428,1324,1,24,1,381,10,36,20,101,53,21
06/10/2020,2,12,132,31,30,432,1339,1,25,1,390,10,36,20,101,54,21
06/11/2020,2,12,133,31,30,431,1361,1,25,1,397,10,36,20,101,55,21
06/12/2020,4,13,134,31,30,433,1388,1,25,1,415,10,37,21,102,55,21
06/13/2020,2,13,136,31,30,438,1414,1,25,1,419,10,37,21,102,55,22
06/14/2020,2,13,136,33,30,446,1434,1,25,1,425,10,37,21,102,55,22
06/15/2020,2,13,136,34,30,446,1445,1,25,1,429,10,37,21,102,55,23
06/16/2020,3,13,137,34,30,450,1450,1,25,1,428,10,37,21,101,55,23
06/17/2020,1,13,138,34,30,450,1461,1,26,1,434,10,37,21,101,55,23
06/18/2020,2,13,138,33,30,451,1493,1,26,2,441,11,37,21,101,55,23
06/19/2020,1,13,138,34,30,457,1516,1,26,2,445,11,38,21,102,55,23
06/20/2020,2,14,137,34,30,458,1534,2,26,2,448,11,38,21,102,55,24
06/21/2020,1,14,138,34,30,461,1540,2,26,2,452,17,38,21,102,55,24
06/22/2020,2,15,138,34,31,466,1542,2,26,2,453,19,38,21,103,55,24
06/23/2020,0,15,141,34,31,472,1554,2,26,2,454,21,38,21,104,55,24
06/24/2020,0,15,140,35,32,479,1566,2,26,2,456,22,38,21,104,55,24
06/25/2020,2,15,142,35,32,482,1608,2,26,2,460,21,38,21,105,55,24
06/26/2020,6,16,143,35,32,484,1627,2,27,2,464,21,38,22,104,55,24
06/27/2020,3,16,143,35,34,497,1656,3,27,2,469,23,39,23,105,55,24
06/28/2020,5,16,143,35,34,499,1682,3,27,2,476,23,39,23,105,55,24
06/29/2020,0,16,146,37,34,504,1697,3,28,2,481,22,41,23,106,55,24
06/30/2020,2,16,146,37,34,515,1715,3,28,2,483,23,41,23,106,55,24
07/01/2020,2,16,147,37,34,529,1733,3,28,3,484,24,41,24,108,56,25
07/02/2020,6,16,147,38,34,533,1756,3,28,3,488,24,40,24,108,56,24
07/03/2020,5,16,147,40,34,545,1780,3,29,3,490,24,40,24,112,56,25
07/04/2020,3,17,146,42,34,549,1793,3,30,3,494,24,40,24,114,56,25
07/05/2020,3,17,145,42,34,550,1805,4,30,3,496,24,40,25,116,56,25
07/06/2020,2,18,145,42,34,549,1810,4,30,3,496,24,40,25,118,58,25
07/07/2020,5,18,145,42,34,555,1818,4,30,4,496,24,40,25,117,58,25
07/08/2020,2,18,147,43,34,558,1829,4,30,5,499,24,40,25,119,58,25
07/09/2020,3,18,147,44,34,557,1844,5,31,5,502,24,41,26,122,58,25
07/10/2020,3,18,145,44,34,563,1851,5,31,5,503,24,41,26,122,59,25
