date,Carbon,Crook,Hot Springs,Platte,Sheridan,Sublette,Big Horn,Converse,Goshen,Park,Uinta,Weston,Albany,Fremont,Johnson,Laramie,Lincoln,Natrona,Niobrara,Teton,Unknown,Sweetwater,Washakie,Campbell
04/01/2020,3,0,1,0,10,1,0,2,1,1,0,0,3,25,7,35,0,14,0,26,0,3,1,5
04/02/2020,3,0,1,0,10,1,0,3,1,1,1,0,3,26,8,37,0,19,0,29,0,3,2,6
04/03/2020,4,0,1,0,10,1,0,3,2,1,1,0,4,27,8,40,1,21,0,32,0,3,2,6
04/04/2020,4,1,1,0,11,1,0,3,2,1,2,0,4,36,8,42,1,23,0,36,0,4,2,7
04/05/2020,4,1,1,0,12,1,0,3,2,1,2,0,4,37,8,44,3,23,0,39,0,5,4,6
04/06/2020,4,1,1,0,12,1,0,4,3,1,3,0,4,38,8,45,4,26,0,40,0,5,4,9
04/07/2020,4,1,1,0,12,1,0,4,3,1,3,0,4,38,8,48,4,26,0,44,0,6,4,9
04/08/2020,4,1,1,0,12,1,0,3,2,1,2,0,4,37,8,44,3,23,0,39,30,5,4,6
04/09/2020,4,5,1,0,15,2,0,9,4,1,3,0,4,45,10,69,8,29,1,59,5,9,7,14
04/10/2020,4,3,1,0,15,3,0,12,4,1,4,0,4,45,11,74,8,35,2,66,0,9,7,12
04/11/2020,4,3,2,0,15,3,0,12,4,1,4,0,5,46,12,77,9,40,2,72,0,10,7,15
04/12/2020,4,3,2,0,15,3,1,14,4,1,4,0,5,47,13,84,9,41,2,79,0,11,7,15
04/13/2020,4,3,2,0,15,3,2,13,4,1,4,0,5,48,13,86,9,41,2,82,1,13,7,15
04/14/2020,4,3,2,0,15,3,2,13,4,1,4,0,5,48,13,86,9,41,2,82,1,13,7,15
04/15/2020,4,4,2,0,16,3,2,14,4,1,4,0,5,50,14,90,9,44,2,86,0,14,7,17
04/16/2020,4,4,2,0,16,3,2,14,4,1,4,0,5,50,14,90,9,44,2,87,0,14,7,17
04/17/2020,4,4,2,0,16,3,2,14,4,1,4,0,7,50,14,93,9,47,2,87,0,14,7,17
04/18/2020,4,4,2,0,16,3,2,14,4,1,6,0,7,52,15,95,9,48,2,89,0,15,7,17
04/19/2020,4,4,4,0,16,3,2,14,4,1,6,0,7,54,15,99,9,48,2,90,0,16,7,17
04/20/2020,4,4,4,0,16,3,3,15,4,1,6,0,7,56,15,100,9,48,2,89,0,16,7,17
04/21/2020,4,5,4,0,16,3,3,15,4,1,7,0,6,57,15,110,9,48,2,92,0,16,7,18
04/22/2020,4,5,4,0,16,3,2,16,4,1,7,0,6,57,15,114,9,48,2,93,0,16,7,18
04/23/2020,4,5,4,0,16,3,2,16,4,1,7,0,6,59,15,117,9,49,2,93,0,16,7,18
04/24/2020,4,5,4,0,16,3,2,16,4,1,7,0,6,72,15,120,9,49,2,95,0,16,7,20
04/25/2020,4,5,4,0,16,3,2,16,4,1,7,0,6,76,15,120,9,49,2,95,0,16,7,20
04/26/2020,6,5,4,0,16,3,2,16,4,1,7,0,6,91,15,125,9,49,2,95,0,16,7,23
04/27/2020,4,5,4,0,16,3,2,17,4,1,7,0,7,106,15,128,9,49,2,95,0,16,7,23
04/28/2020,4,5,4,0,16,3,2,21,4,1,8,0,8,109,15,134,9,49,2,96,0,16,7,23
04/29/2020,4,5,4,0,16,3,3,22,4,1,8,0,8,110,15,139,9,49,2,95,0,17,7,23
04/30/2020,4,5,4,0,16,3,3,22,4,1,8,0,8,116,15,145,9,49,2,96,0,18,7,24
05/01/2020,5,5,4,0,16,3,3,22,4,1,8,0,8,120,15,147,9,49,2,96,0,18,7,24
05/02/2020,5,5,4,0,16,3,3,23,4,1,8,0,8,128,15,151,9,48,2,97,0,18,7,24
05/03/2020,5,5,4,0,16,3,3,23,4,1,8,0,8,131,15,154,9,48,2,98,0,18,7,24
05/04/2020,5,5,4,0,16,3,3,23,4,1,8,0,8,137,15,158,9,48,2,98,0,18,7,24
05/05/2020,5,5,4,0,16,3,3,23,4,1,8,0,8,140,15,162,10,48,2,98,0,18,7,24
05/06/2020,5,5,4,0,16,3,3,23,4,1,8,0,8,164,15,163,10,48,2,98,0,19,7,25
05/07/2020,5,5,4,0,16,3,3,23,4,1,8,0,8,168,15,163,10,48,2,98,0,19,7,25
05/08/2020,5,5,4,0,16,3,3,23,5,1,9,0,8,175,15,163,10,48,2,98,0,19,7,25
05/09/2020,5,5,4,0,16,3,3,23,5,1,9,0,8,180,15,163,10,48,2,98,0,19,7,29
05/10/2020,5,5,4,0,16,3,3,23,5,1,9,0,8,187,15,164,11,48,2,98,0,19,7,29
05/11/2020,5,5,4,0,16,3,3,23,5,1,9,0,8,191,15,166,11,48,2,98,0,20,7,29
05/12/2020,5,5,4,0,16,3,3,23,5,1,9,0,8,193,15,170,11,47,2,98,0,20,7,30
05/13/2020,5,5,4,0,16,3,3,23,5,1,9,0,8,202,15,173,11,48,2,99,0,20,7,29
05/14/2020,7,5,4,0,16,3,3,23,5,1,9,0,8,208,15,173,14,49,2,99,0,21,7,29
05/15/2020,8,5,4,0,16,3,3,23,5,1,9,0,8,214,15,178,14,50,2,99,0,22,8,29
05/16/2020,14,5,7,0,16,3,3,23,5,1,10,0,9,220,15,181,14,53,2,100,0,23,8,29
05/17/2020,14,5,7,0,16,3,3,23,5,1,10,0,9,223,15,181,14,56,2,100,0,23,15,29
05/18/2020,14,5,8,0,16,3,3,23,5,1,12,0,10,224,16,181,14,62,2,100,0,23,15,29
05/19/2020,15,5,8,0,16,3,3,24,5,1,11,0,10,228,16,183,14,64,2,100,0,24,15,29
05/20/2020,16,5,9,0,16,3,3,24,5,2,11,0,10,233,16,182,14,66,2,100,0,25,15,30
05/21/2020,16,5,10,1,16,3,3,24,5,2,13,0,10,237,16,182,15,67,2,100,0,25,19,30
05/22/2020,16,5,10,1,16,3,3,24,5,2,13,0,10,238,16,182,15,68,2,100,0,25,19,30
05/23/2020,16,5,10,1,16,3,3,24,5,2,12,0,14,244,16,182,15,68,2,100,0,25,20,30
05/24/2020,16,5,10,1,16,3,3,24,5,2,12,0,14,244,16,182,15,68,2,100,0,25,20,30
05/25/2020,16,5,11,1,16,3,5,24,5,2,12,0,20,249,18,183,15,71,2,100,0,25,30,30
05/26/2020,16,5,11,1,16,3,5,24,5,2,12,0,23,250,18,183,15,72,2,100,0,25,32,30
05/27/2020,16,5,13,1,16,3,5,24,5,2,12,1,23,255,18,185,15,72,2,100,0,25,32,30
05/28/2020,16,5,13,1,16,3,5,24,5,2,12,1,24,261,18,188,15,75,2,100,0,26,34,30
05/29/2020,16,5,13,1,16,3,5,24,5,2,12,1,25,273,18,188,15,76,2,100,0,26,34,31
05/30/2020,16,5,13,1,16,3,5,24,5,2,12,1,25,277,18,188,15,76,2,100,0,27,36,31
05/31/2020,16,5,13,1,16,3,6,24,5,2,12,1,25,278,18,188,15,77,2,100,0,30,35,31
06/01/2020,16,5,13,1,16,3,6,24,5,2,12,1,25,282,18,188,15,79,2,100,0,30,36,31
06/02/2020,16,5,13,1,16,3,6,24,5,2,13,1,25,283,18,188,15,79,2,100,0,30,36,31
06/03/2020,16,5,13,1,16,3,6,24,5,2,13,1,25,285,18,188,15,79,2,100,0,31,36,31
06/04/2020,16,5,13,1,16,3,6,24,5,2,13,1,25,287,18,188,15,79,2,100,0,32,38,32
06/05/2020,16,5,13,1,16,3,6,24,5,2,19,1,26,289,18,188,15,82,2,100,0,32,38,32
06/06/2020,16,5,13,1,16,3,6,24,5,2,19,1,26,295,18,188,15,82,2,100,0,32,38,32
06/07/2020,16,5,13,1,18,3,8,24,5,2,23,1,26,295,18,188,15,82,2,100,0,32,38,32
06/08/2020,16,5,13,1,18,3,8,24,5,2,25,1,26,297,18,188,15,87,2,100,0,33,38,35
06/09/2020,16,5,13,1,18,3,9,24,5,2,35,1,26,295,18,188,15,87,2,100,0,34,38,35
06/10/2020,16,5,13,1,19,3,9,24,5,2,39,1,26,296,18,188,15,87,2,101,0,35,38,37
06/11/2020,20,5,13,1,19,3,10,24,5,2,53,1,26,302,18,188,15,87,2,102,0,36,38,39
06/12/2020,20,5,13,1,19,3,10,24,5,3,62,1,25,303,18,191,15,87,2,104,0,38,38,40
06/13/2020,22,5,13,1,19,3,11,24,5,5,71,1,26,304,18,195,15,87,2,104,0,40,38,41
06/14/2020,24,6,13,1,19,3,11,24,5,5,73,1,26,305,18,195,15,87,2,105,0,40,38,44
06/15/2020,22,6,13,1,19,3,11,24,5,5,88,1,27,308,18,196,15,87,2,105,0,40,38,45
06/16/2020,22,6,13,1,19,3,11,24,5,7,91,1,28,310,18,196,15,88,2,105,0,40,38,46
06/17/2020,21,6,13,1,19,3,11,24,5,8,104,1,28,315,19,197,15,88,2,107,0,43,38,46
06/18/2020,22,6,13,1,19,4,11,24,5,10,116,1,28,319,19,203,15,90,2,108,0,44,38,46
06/19/2020,22,6,13,1,19,4,11,24,5,9,128,1,28,326,19,204,15,95,2,109,0,48,38,46
06/20/2020,22,6,13,1,19,4,11,24,5,11,130,1,28,327,19,204,15,95,2,109,0,49,38,46
06/21/2020,22,6,13,1,19,4,11,24,5,11,138,1,28,329,19,204,16,96,2,110,0,53,38,47
06/22/2020,22,6,13,2,19,5,11,25,5,12,148,1,29,335,19,211,15,98,2,111,0,56,38,47
06/23/2020,22,7,13,2,19,5,11,25,5,16,152,1,29,339,19,215,15,98,2,113,0,58,38,50
06/24/2020,22,7,13,2,19,5,11,25,5,17,157,1,31,340,19,219,15,102,2,113,0,65,38,54
06/25/2020,22,7,13,2,22,5,11,25,5,22,162,1,31,345,19,225,16,107,2,118,0,73,38,55
06/26/2020,22,7,13,2,24,5,12,25,5,25,166,1,32,349,20,240,17,109,2,119,0,80,38,55
06/27/2020,22,7,13,2,24,6,12,26,5,31,167,1,32,352,20,246,17,114,2,119,0,81,38,55
06/28/2020,22,7,13,2,26,6,12,26,5,37,168,1,32,355,20,250,17,118,2,123,0,82,38,55
06/29/2020,22,7,13,2,26,6,14,26,5,40,174,2,34,356,20,256,18,120,2,128,0,86,38,55
06/30/2020,23,7,13,3,27,6,20,26,5,50,176,2,34,355,20,261,23,121,2,129,0,90,38,56
07/01/2020,23,7,13,4,27,6,20,26,5,56,177,2,34,358,20,270,24,126,2,131,0,89,38,56
07/02/2020,23,7,13,4,27,6,20,26,5,57,180,2,34,361,20,282,27,131,2,136,0,92,38,57
07/03/2020,24,7,13,4,27,6,21,26,6,61,182,2,35,362,20,286,33,134,2,135,0,100,38,58
07/04/2020,26,7,13,4,27,6,23,26,7,61,183,2,36,366,20,287,34,136,2,137,0,102,38,63
07/05/2020,26,7,13,4,27,6,23,26,8,62,184,2,37,370,20,288,35,140,2,140,0,106,38,70
07/06/2020,26,7,13,4,27,6,23,27,8,66,190,1,38,370,20,292,36,149,2,145,0,113,38,74
07/07/2020,29,7,13,4,27,6,24,27,8,70,190,1,43,370,20,298,37,153,2,146,0,122,39,75
07/08/2020,29,7,13,4,27,6,25,27,9,76,192,1,45,373,20,302,37,155,2,149,0,124,42,75
07/09/2020,29,7,13,4,27,6,26,27,9,80,198,1,45,379,20,307,39,158,2,149,0,126,42,80
07/10/2020,29,7,13,4,29,6,29,27,9,81,200,1,45,378,20,310,41,158,2,150,0,128,41,82
