date,Sanpete,Sevier,Tooele,Wasatch,Weber,Box Elder,Emery,Juab,Millard,Piute,Rich,Utah,Washington,Beaver,Cache,Salt Lake,San Juan,Summit,Unknown,Carbon,Davis,Duchesne,Garfield,Grand,Kane,Morgan,Uintah,Iron
02/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
03/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
03/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
03/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
03/10/2020,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
03/11/2020,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
03/12/2020,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
03/13/2020,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
03/14/2020,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15,0,2,0,0,2,0,0,0,0,0,0,0
03/15/2020,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,15,0,8,0,0,3,0,0,0,0,0,0,0
03/16/2020,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,20,0,11,0,0,4,0,0,0,0,0,0,0
03/17/2020,0,0,1,2,4,0,0,0,0,0,0,1,1,0,0,23,0,15,0,0,4,0,0,0,0,0,0,0
03/18/2020,0,0,1,2,4,1,0,0,0,0,0,2,1,0,2,24,0,22,0,0,6,0,0,0,0,0,0,0
03/19/2020,0,0,1,3,4,1,0,0,0,0,0,3,1,0,2,31,0,26,0,0,8,0,0,0,0,0,0,0
03/20/2020,0,0,2,4,6,1,0,0,0,0,0,3,1,0,2,46,0,35,0,0,12,0,0,0,0,0,0,0
03/21/2020,0,0,2,7,6,1,0,0,0,0,0,7,2,0,2,60,0,35,0,0,16,0,0,0,0,0,0,0
03/22/2020,0,0,3,8,6,1,0,0,0,0,0,7,2,0,2,84,0,50,0,0,19,0,0,0,0,0,0,0
03/23/2020,0,0,3,11,8,1,0,0,0,0,0,12,4,0,3,112,0,73,0,0,29,0,0,0,0,0,0,1
03/24/2020,0,0,3,16,9,1,0,0,0,0,0,14,4,0,3,127,0,90,0,0,31,0,0,0,0,0,0,1
03/25/2020,0,0,3,16,10,2,0,0,0,0,0,18,6,0,4,151,0,90,10,0,35,0,0,0,0,0,0,1
03/26/2020,0,0,4,21,8,2,0,0,0,0,0,25,6,0,4,181,0,103,5,0,39,0,0,0,0,2,0,2
03/27/2020,0,0,5,29,12,2,0,0,0,0,0,27,6,0,5,212,0,110,17,0,50,0,0,0,0,2,1,2
03/28/2020,0,0,8,36,29,4,0,0,0,0,0,30,8,0,5,276,1,127,17,0,59,0,1,0,0,2,1,4
03/29/2020,0,0,9,40,37,4,0,0,0,0,0,51,8,0,5,324,4,159,1,0,69,0,1,0,0,2,1,4
03/30/2020,0,0,9,45,36,7,0,0,0,0,0,58,8,0,6,363,4,176,8,0,77,0,1,0,0,3,1,4
03/31/2020,0,0,12,50,41,7,0,0,0,0,0,70,14,0,7,396,4,172,19,0,84,0,1,0,0,3,1,6
04/01/2020,0,0,13,56,41,7,0,0,0,0,0,90,14,0,7,444,4,195,37,0,93,0,1,0,0,3,1,6
04/02/2020,0,0,13,61,50,9,0,0,0,0,0,105,19,0,10,476,5,195,16,0,103,0,1,0,1,3,1,9
04/03/2020,0,0,16,69,55,10,1,1,1,0,0,150,21,0,15,541,5,222,0,1,122,1,1,1,1,3,1,10
04/04/2020,0,0,17,70,63,10,1,1,1,0,0,186,21,0,15,650,5,230,0,1,137,1,1,1,1,3,1,10
04/05/2020,0,0,19,78,68,10,1,1,1,0,0,216,24,0,19,741,5,256,14,1,142,1,1,1,2,3,1,13
04/06/2020,0,0,22,79,70,10,2,2,4,0,0,223,24,0,20,741,5,260,23,1,154,1,1,1,2,3,1,13
04/07/2020,0,0,23,80,73,11,2,2,2,0,0,236,26,0,23,807,5,265,0,1,158,1,1,1,2,3,2,13
04/08/2020,0,0,23,82,74,13,2,2,4,0,0,267,27,0,28,868,6,273,0,2,163,2,1,1,2,3,4,13
04/09/2020,0,0,24,88,84,13,2,2,4,0,0,272,31,0,29,935,6,289,0,2,170,3,1,1,3,3,5,13
04/10/2020,0,0,28,96,87,12,2,2,4,0,0,283,35,0,30,1011,6,296,0,2,180,3,1,1,3,3,5,13
04/11/2020,0,0,31,98,89,12,2,2,4,0,0,295,35,0,30,1071,8,300,7,2,193,3,1,1,3,3,5,13
04/12/2020,0,0,33,103,93,12,2,2,4,0,0,313,36,0,33,1126,8,304,6,2,199,3,1,1,3,3,5,13
04/13/2020,0,0,34,103,100,13,2,2,4,0,0,322,36,0,36,1157,9,306,8,2,204,3,1,1,3,3,6,13
04/14/2020,0,0,34,105,102,13,3,2,4,0,0,335,39,0,36,1187,9,306,0,2,211,3,1,1,3,3,6,15
04/15/2020,0,2,37,105,105,13,3,2,4,0,0,352,39,0,36,1285,9,306,0,2,217,3,1,1,3,3,6,15
04/16/2020,0,2,38,103,105,13,3,2,4,0,0,387,39,0,36,1377,9,308,3,2,220,3,1,1,3,7,6,15
04/17/2020,0,4,38,103,105,16,4,2,6,0,0,403,41,0,38,1456,17,311,2,2,227,4,1,1,3,7,6,16
04/18/2020,3,5,39,109,105,16,4,2,5,0,0,417,44,0,40,1547,18,316,0,3,230,4,1,1,3,7,6,17
04/19/2020,3,5,42,111,110,16,4,2,5,0,0,455,44,0,40,1615,22,318,0,3,236,5,1,1,3,7,6,17
04/20/2020,3,5,41,118,119,17,4,2,5,0,0,498,45,0,40,1671,29,331,0,4,242,4,1,1,3,7,6,17
04/21/2020,3,5,41,122,119,17,4,4,5,0,0,523,48,0,40,1714,34,335,0,4,243,4,1,1,3,7,6,18
04/22/2020,3,5,42,123,125,17,4,4,5,0,0,570,48,0,40,1795,34,341,0,4,249,4,1,1,3,9,6,18
04/23/2020,4,5,46,127,131,17,4,7,5,0,0,611,51,0,40,1889,37,343,0,5,254,4,1,1,3,9,6,21
04/24/2020,4,5,47,129,132,17,4,7,5,0,0,669,51,0,41,1975,37,351,1,5,256,4,1,2,3,9,6,21
04/25/2020,4,5,52,132,133,17,4,7,5,0,0,725,58,0,41,2051,40,355,0,7,268,4,1,2,3,9,6,21
04/26/2020,5,5,54,138,133,17,4,7,5,0,0,777,62,0,43,2144,43,357,0,7,275,5,1,2,3,9,6,21
04/27/2020,5,5,56,140,139,17,4,7,5,0,0,828,62,0,43,2190,45,358,0,7,276,5,3,2,3,9,6,21
04/28/2020,5,5,58,142,139,17,4,7,5,0,0,862,62,0,43,2256,45,359,0,7,278,5,3,2,3,9,6,21
04/29/2020,5,5,63,147,145,17,4,7,5,0,0,899,65,0,43,2348,45,361,0,7,283,5,3,2,3,9,6,22
04/30/2020,5,5,65,148,145,17,4,7,5,0,0,957,65,0,43,2438,46,369,11,7,285,5,3,2,3,9,6,22
05/01/2020,5,6,68,155,155,18,5,7,5,0,0,993,68,0,43,2526,47,373,0,7,293,7,3,3,3,9,6,24
05/02/2020,5,6,69,156,155,18,5,7,5,0,0,1021,71,0,43,2609,78,375,0,7,296,7,3,3,3,9,6,24
05/03/2020,5,6,71,159,155,18,5,7,5,0,0,1073,72,0,44,2707,100,376,8,7,300,8,3,3,3,9,6,25
05/04/2020,6,7,71,165,164,18,5,7,5,0,0,1122,85,0,44,2769,116,377,0,7,299,8,3,4,3,9,6,26
05/05/2020,6,7,70,166,164,18,5,7,5,0,0,1171,85,0,44,2832,119,382,0,7,302,8,3,4,3,9,6,26
05/06/2020,6,7,70,170,164,19,5,7,5,0,0,1210,95,0,45,2919,126,382,0,7,308,8,3,4,3,9,6,27
05/07/2020,6,7,71,173,164,19,5,7,5,1,0,1219,95,0,45,3010,132,382,1,7,315,8,3,4,3,9,6,27
05/08/2020,6,8,72,173,175,19,5,7,5,1,0,1288,95,0,51,3104,135,384,2,7,321,8,3,4,3,9,6,28
05/09/2020,6,8,76,176,175,20,5,8,5,1,0,1318,103,0,51,3206,145,385,17,7,327,9,3,4,3,9,7,29
05/10/2020,6,8,77,176,179,20,5,8,5,1,0,1346,120,0,58,3291,147,385,11,7,336,9,3,4,3,10,7,29
05/11/2020,6,8,77,183,193,21,5,8,5,1,0,1358,125,0,59,3370,149,386,0,7,338,9,3,4,3,10,7,29
05/12/2020,6,8,78,184,200,21,5,8,6,1,0,1365,136,0,59,3425,152,388,0,7,340,9,3,4,3,10,7,29
05/13/2020,6,8,85,185,202,23,5,8,6,1,0,1400,145,0,60,3530,152,392,0,7,344,9,3,4,3,10,7,29
05/14/2020,6,8,84,188,205,24,5,8,6,1,0,1435,152,0,60,3609,154,393,0,7,349,9,3,4,3,10,8,29
05/15/2020,6,8,86,196,207,24,5,8,6,1,0,1455,165,0,61,3717,159,396,0,8,354,11,3,4,3,10,8,29
05/16/2020,6,8,93,200,207,25,5,8,6,1,0,1471,173,0,63,3785,177,400,1,7,363,11,3,4,3,10,8,30
05/17/2020,6,8,93,202,207,25,5,8,6,1,0,1497,182,0,63,3883,198,401,8,7,368,11,3,4,3,10,8,31
05/18/2020,6,8,94,203,224,25,5,8,6,1,0,1520,198,0,64,3942,227,401,3,8,370,9,3,4,3,10,10,32
05/19/2020,6,8,103,212,224,25,7,8,6,1,0,1537,214,0,64,4019,238,403,0,8,373,9,3,4,3,10,10,35
05/20/2020,7,8,104,217,233,25,7,9,6,1,0,1569,218,0,72,4123,246,403,0,8,386,9,3,4,3,10,10,36
05/21/2020,7,8,104,222,242,25,7,10,6,1,0,1592,226,0,72,4217,251,404,0,8,396,9,3,4,3,10,10,39
05/22/2020,7,8,108,228,244,25,7,10,6,1,0,1651,235,0,74,4308,254,403,0,8,401,9,3,4,3,10,10,40
05/23/2020,7,8,112,237,244,25,7,10,6,1,0,1678,247,0,77,4441,259,403,5,8,407,8,3,4,3,10,9,41
05/24/2020,7,8,113,241,244,25,7,10,6,1,0,1704,247,0,77,4515,264,405,22,8,410,8,3,4,3,10,9,41
05/25/2020,7,8,113,247,250,25,7,10,6,1,0,1722,274,0,78,4583,268,405,14,8,414,8,3,4,3,10,9,44
05/26/2020,7,8,114,253,262,26,7,10,6,2,0,1744,279,0,79,4632,272,405,0,11,419,8,3,7,3,11,9,45
05/27/2020,7,8,115,258,263,26,7,10,6,2,0,1753,283,0,89,4682,272,407,0,11,424,8,3,7,3,11,9,46
05/28/2020,12,8,122,259,272,26,7,10,6,2,0,1777,304,0,111,4806,283,409,0,11,435,8,3,9,3,11,9,50
05/29/2020,12,8,125,265,280,26,7,10,6,2,0,1826,324,0,142,4994,286,412,0,11,447,8,3,9,3,11,9,56
05/30/2020,12,8,126,272,282,27,7,10,6,2,0,1870,357,0,179,5118,289,412,0,11,458,9,3,9,3,11,10,60
05/31/2020,12,8,128,282,288,29,7,10,6,2,0,1929,365,0,219,5242,297,415,0,11,465,9,3,9,3,11,10,69
06/01/2020,12,8,129,292,293,29,7,10,6,2,0,1965,374,0,238,5340,299,416,0,11,472,9,3,12,3,12,10,74
06/02/2020,12,9,132,294,296,30,7,10,6,2,0,1991,388,0,268,5449,308,417,0,11,476,9,3,12,3,12,10,82
06/03/2020,12,9,136,305,308,31,7,10,6,2,0,2028,400,0,310,5621,309,418,0,11,494,9,3,12,3,12,10,92
06/04/2020,13,9,140,313,323,34,7,11,6,2,0,2088,410,0,329,5760,312,419,0,11,513,9,4,12,3,13,10,107
06/05/2020,14,9,144,317,342,47,7,11,6,2,0,2143,435,0,514,5918,314,422,0,11,525,9,4,12,3,13,10,112
06/06/2020,14,10,145,326,369,49,7,11,6,2,0,2183,455,0,709,6096,333,426,0,11,541,9,4,12,3,13,10,122
06/07/2020,14,10,148,330,374,51,7,11,6,2,0,2261,455,0,731,6182,333,434,0,11,549,10,4,12,3,13,11,122
06/08/2020,14,10,150,332,374,55,7,11,6,2,0,2310,492,0,773,6313,333,437,0,13,564,9,4,12,4,13,12,128
06/09/2020,16,13,153,335,386,59,7,11,6,2,0,2337,511,0,805,6437,337,440,0,13,580,9,4,12,4,14,12,136
06/10/2020,17,14,153,337,400,61,7,12,6,2,0,2376,532,0,861,6619,339,443,0,13,593,9,4,12,4,15,13,140
06/11/2020,20,19,158,341,400,71,7,12,7,2,0,2444,565,0,913,6783,343,442,0,13,620,9,4,12,4,15,17,145
06/12/2020,21,22,159,342,412,73,7,11,7,2,1,2491,578,0,939,6966,350,444,0,13,628,9,4,12,4,16,17,153
06/13/2020,21,22,162,343,412,77,7,11,7,2,1,2551,604,0,966,7187,351,446,0,13,646,10,4,12,4,16,18,168
06/14/2020,21,22,165,349,412,78,7,11,7,2,1,2607,604,0,982,7309,357,449,24,13,660,10,4,12,4,16,19,168
06/15/2020,27,29,170,351,507,82,8,11,8,2,1,2654,640,1,1020,7506,363,449,0,13,672,10,4,12,4,16,19,178
06/16/2020,28,29,178,356,526,82,8,12,8,2,2,2711,663,1,1060,7644,365,448,0,13,691,10,4,12,4,17,20,183
06/17/2020,29,29,181,362,541,85,8,13,8,2,2,2776,689,1,1087,7846,367,451,0,13,715,10,4,12,4,16,22,191
06/18/2020,29,29,184,368,580,90,9,13,8,2,3,2861,716,1,1136,8140,374,453,0,14,739,10,4,12,4,17,25,194
06/19/2020,35,33,188,371,596,97,9,14,8,2,3,2957,767,1,1205,8404,380,455,0,14,775,10,4,12,5,17,26,197
06/20/2020,39,38,195,380,596,100,9,15,8,2,3,3056,806,1,1245,8713,382,460,0,14,822,10,5,12,5,17,26,214
06/21/2020,41,39,199,380,653,106,9,15,10,2,3,3136,806,1,1283,8878,383,463,0,14,856,10,5,12,5,18,26,214
06/22/2020,42,39,202,384,667,111,9,15,12,2,3,3263,864,2,1301,9073,386,466,0,14,877,10,9,12,5,17,26,224
06/23/2020,43,39,208,387,706,111,9,15,13,2,3,3355,899,2,1317,9252,388,470,0,14,905,10,11,12,6,17,27,233
06/24/2020,44,39,208,389,719,115,9,15,14,2,3,3447,936,4,1328,9501,389,474,0,14,938,11,11,12,6,17,27,243
06/25/2020,44,39,212,392,771,117,9,15,14,2,3,3541,977,7,1357,9830,391,477,0,14,989,11,12,12,6,17,29,256
06/26/2020,45,43,222,394,808,124,9,15,27,2,3,3675,1011,8,1389,10163,395,480,0,14,1036,13,12,12,6,18,29,265
06/27/2020,45,46,225,399,808,136,9,15,29,2,4,3751,1063,8,1400,10458,399,482,0,14,1080,13,13,12,6,18,29,271
06/28/2020,47,47,229,400,875,138,9,17,38,3,4,3850,1063,8,1426,10629,399,483,0,14,1113,13,13,12,6,18,30,271
06/29/2020,47,47,234,406,910,144,9,17,38,3,4,3965,1156,8,1445,10951,400,485,0,15,1155,13,14,14,6,19,30,283
06/30/2020,50,48,244,408,941,147,9,18,47,3,4,4084,1198,9,1453,11227,399,488,0,15,1179,14,14,14,6,22,31,292
07/01/2020,53,48,247,410,994,150,9,21,48,3,4,4154,1228,9,1470,11487,402,493,0,15,1218,14,15,18,6,22,31,295
07/02/2020,53,48,256,414,1039,157,9,21,48,3,4,4249,1245,9,1477,11833,404,498,0,15,1268,14,15,18,7,23,31,308
07/03/2020,56,50,255,418,1084,161,9,21,59,4,4,4340,1280,9,1499,12149,403,508,0,15,1322,14,15,18,7,24,31,315
07/04/2020,56,50,265,419,1158,170,9,21,59,4,4,4474,1304,11,1521,12435,413,515,0,15,1379,14,15,18,7,24,33,324
07/05/2020,56,50,269,422,1190,175,9,21,59,4,4,4553,1304,11,1532,12540,414,519,0,15,1422,14,15,18,7,24,34,324
07/06/2020,66,52,275,426,1247,180,9,26,73,4,4,4648,1361,12,1540,12842,416,534,0,15,1470,15,15,20,12,25,34,332
07/07/2020,66,52,294,427,1278,190,9,26,73,4,4,4761,1428,12,1557,13069,417,538,0,15,1522,15,18,20,12,25,35,336
07/08/2020,69,58,304,436,1348,199,9,31,79,4,4,4894,1460,12,1571,13419,425,543,0,15,1575,15,18,20,12,26,36,339
07/09/2020,69,58,315,442,1431,209,9,31,79,4,4,4988,1494,12,1582,13763,441,553,0,19,1644,20,18,23,13,26,41,344
07/10/2020,71,59,327,448,1487,216,9,34,83,4,4,5143,1545,12,1605,14148,451,560,0,19,1723,20,18,23,14,28,41,360
